## Mon Oct 10 06:54:44 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ebxwf5mt --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ebxwf5mt --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_ebxwf5mt/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_123184472.1	1384484.AEQU_1093	2.65e-211	593.0	COG0301@1|root,COG0301@2|Bacteria,2GMFY@201174|Actinobacteria,4CU8T@84998|Coriobacteriia	84998|Coriobacteriia	H	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS	thiI	-	2.8.1.4	ko:K03151	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07461	-	ko00000,ko00001,ko01000,ko03016	-	-	-	THUMP,ThiI
WP_123184481.1	502558.EGYY_14380	2.39e-130	382.0	COG1420@1|root,COG1420@2|Bacteria,2GKF5@201174|Actinobacteria,4CV7V@84998|Coriobacteriia	84998|Coriobacteriia	K	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons	hrcA	-	-	ko:K03705	-	-	-	-	ko00000,ko03000	-	-	-	HTH_DeoR,HrcA
WP_123184494.1	1235794.C811_00625	1.06e-54	171.0	COG0184@1|root,COG0184@2|Bacteria,2IQA0@201174|Actinobacteria,4CW78@84998|Coriobacteriia	84998|Coriobacteriia	J	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome	rpsO	-	-	ko:K02956	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S15
WP_123184502.1	1235794.C811_00616	9.08e-149	432.0	COG0558@1|root,COG1546@1|root,COG0558@2|Bacteria,COG1546@2|Bacteria,2IQ8T@201174|Actinobacteria,4CYG4@84998|Coriobacteriia	84998|Coriobacteriia	I	Belongs to the CDP-alcohol phosphatidyltransferase class-I family	cinA	-	-	-	-	-	-	-	-	-	-	-	CDP-OH_P_transf,CinA
WP_123184504.1	1384484.AEQU_1059	8.85e-235	663.0	COG1418@1|root,COG4372@1|root,COG1418@2|Bacteria,COG4372@2|Bacteria,2I9DW@201174|Actinobacteria,4CURU@84998|Coriobacteriia	84998|Coriobacteriia	NU	Endoribonuclease that initiates mRNA decay	rny	-	-	ko:K18682	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03019	-	-	-	DUF3552,HD,KH_1
WP_123184506.1	1235794.C811_00611	1.26e-44	147.0	COG2359@1|root,COG2359@2|Bacteria,2HV5H@201174|Actinobacteria,4CWCG@84998|Coriobacteriia	84998|Coriobacteriia	S	Stage V sporulation protein S	spoVS	-	-	ko:K06416	-	-	-	-	ko00000	-	-	-	SpoVS
WP_123184511.1	1384484.AEQU_1051	4.43e-65	202.0	COG1327@1|root,COG1327@2|Bacteria,2IHU9@201174|Actinobacteria,4CVYF@84998|Coriobacteriia	84998|Coriobacteriia	K	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	nrdR	-	-	ko:K07738	-	-	-	-	ko00000,ko03000	-	-	-	ATP-cone
WP_123184518.1	742818.HMPREF9451_00045	1.9e-85	263.0	COG3302@1|root,COG3302@2|Bacteria,2HV24@201174|Actinobacteria,4CW6H@84998|Coriobacteriia	84998|Coriobacteriia	S	DMSO reductase anchor subunit (DmsC)	-	-	-	ko:K07308	ko00920,map00920	-	R09501	RC02555	ko00000,ko00001,ko02000	5.A.3.3	-	-	DmsC
WP_123184519.1	742818.HMPREF9451_00044	7.27e-115	332.0	COG0437@1|root,COG0437@2|Bacteria,2I2DV@201174|Actinobacteria,4CVSI@84998|Coriobacteriia	84998|Coriobacteriia	C	4Fe-4S dicluster domain	-	-	-	ko:K00184	-	-	-	-	ko00000	5.A.3	-	-	Fer4_11,Fer4_3,Fer4_4
WP_123184520.1	742818.HMPREF9451_00043	0.0	1084.0	COG0243@1|root,COG0243@2|Bacteria,2GNYQ@201174|Actinobacteria,4CVCI@84998|Coriobacteriia	84998|Coriobacteriia	C	Molybdopterin oxidoreductase Fe4S4 domain	-	-	-	-	-	-	-	-	-	-	-	-	Molybdop_Fe4S4,Molybdopterin,Molydop_binding
WP_123184522.1	1384484.AEQU_1037	4.43e-131	382.0	COG0008@1|root,COG0008@2|Bacteria,2GKMT@201174|Actinobacteria,4CUFR@84998|Coriobacteriia	84998|Coriobacteriia	J	Catalyzes the tRNA-independent activation of glutamate in presence of ATP and the subsequent transfer of glutamate onto a tRNA(Asp). Glutamate is transferred on the 2-amino-5-(4,5- dihydroxy-2-cyclopenten-1-yl) moiety of the queuosine in the wobble position of the QUC anticodon	gluQ	-	6.1.1.17	ko:K01885	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120	M00121,M00359,M00360	R05578	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016	-	-	-	tRNA-synt_1c
WP_123184524.1	502558.EGYY_13860	1.67e-44	149.0	COG4747@1|root,COG4747@2|Bacteria,2HTNQ@201174|Actinobacteria,4CW53@84998|Coriobacteriia	84998|Coriobacteriia	S	ACT domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_123184525.1	1235794.C811_00541	3.34e-88	264.0	COG1014@1|root,COG1014@2|Bacteria,2HUY3@201174|Actinobacteria,4CVZ0@84998|Coriobacteriia	84998|Coriobacteriia	C	Pyruvate ferredoxin/flavodoxin oxidoreductase	-	-	1.2.7.8	ko:K00180	-	-	-	-	br01601,ko00000,ko01000	-	-	-	POR
WP_123184527.1	1121866.AUGK01000004_gene172	1.18e-50	165.0	COG1716@1|root,COG1716@2|Bacteria,2GK99@201174|Actinobacteria,4CVWA@84998|Coriobacteriia	84998|Coriobacteriia	T	FHA domain	-	-	-	-	-	-	-	-	-	-	-	-	FHA,Yop-YscD_cpl,zf-ribbon_3
WP_123184528.1	1384484.AEQU_1031	3.26e-137	411.0	COG1686@1|root,COG1686@2|Bacteria,2GK3M@201174|Actinobacteria,4CUV4@84998|Coriobacteriia	84998|Coriobacteriia	M	Belongs to the peptidase S11 family	-	-	3.4.16.4	ko:K07258	ko00550,ko01100,map00550,map01100	-	-	-	ko00000,ko00001,ko01000,ko01002,ko01011	-	-	-	Peptidase_S11
WP_123184529.1	1235794.C811_00537	1.95e-51	167.0	COG4747@1|root,COG4747@2|Bacteria,2HV1M@201174|Actinobacteria,4CW5E@84998|Coriobacteriia	84998|Coriobacteriia	S	ACT domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_123184532.1	1384484.AEQU_1026	3.14e-33	119.0	COG1143@1|root,COG1143@2|Bacteria,2HV6P@201174|Actinobacteria,4CWEI@84998|Coriobacteriia	84998|Coriobacteriia	C	NADH ubiquinone oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	Fer4,Fer4_7
WP_123184533.1	1235794.C811_00532	5.88e-224	621.0	COG3261@1|root,COG3261@2|Bacteria,2I6A4@201174|Actinobacteria,4CV8E@84998|Coriobacteriia	84998|Coriobacteriia	C	Belongs to the complex I 49 kDa subunit family	-	-	-	ko:K14090	-	-	-	-	ko00000	-	-	-	Complex1_49kDa,NiFeSe_Hases
WP_123184534.1	502558.EGYY_13750	2.55e-42	149.0	COG0852@1|root,COG0852@2|Bacteria,2I6H5@201174|Actinobacteria,4CVQT@84998|Coriobacteriia	84998|Coriobacteriia	C	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	-	-	-	-	-	-	-	-	-	-	-	-	Complex1_30kDa
WP_123184535.1	1121866.AUGK01000004_gene181	3.58e-96	280.0	COG3260@1|root,COG3260@2|Bacteria,2I6A2@201174|Actinobacteria,4CVN4@84998|Coriobacteriia	84998|Coriobacteriia	C	NADH ubiquinone oxidoreductase, 20 Kd subunit	-	-	-	ko:K14088	-	-	-	-	ko00000	-	-	-	Oxidored_q6
WP_123184547.1	502558.EGYY_14760	2.33e-142	418.0	COG0452@1|root,COG0452@2|Bacteria,2GJGJ@201174|Actinobacteria,4CUS0@84998|Coriobacteriia	84998|Coriobacteriia	H	Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine	coaBC	-	4.1.1.36,6.3.2.5	ko:K13038	ko00770,ko01100,map00770,map01100	M00120	R03269,R04231	RC00064,RC00090,RC00822	ko00000,ko00001,ko00002,ko01000	-	-	-	DFP,Flavoprotein
WP_123184549.1	1384484.AEQU_1008	1.96e-155	447.0	COG0564@1|root,COG0564@2|Bacteria,2GIY1@201174|Actinobacteria,4CUMJ@84998|Coriobacteriia	84998|Coriobacteriia	J	Responsible for synthesis of pseudouridine from uracil	-	-	5.4.99.23	ko:K06180	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2,S4
WP_123184550.1	1121866.AUGK01000004_gene206	1.93e-48	162.0	COG0597@1|root,COG0597@2|Bacteria,2HUWP@201174|Actinobacteria,4CVW4@84998|Coriobacteriia	84998|Coriobacteriia	MU	This protein specifically catalyzes the removal of signal peptides from prolipoproteins	lspA	-	3.4.23.36	ko:K03101	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_A8
WP_123184553.1	1235794.C811_00498	5.17e-227	627.0	COG1215@1|root,COG1215@2|Bacteria,2I5QV@201174|Actinobacteria,4CYJP@84998|Coriobacteriia	84998|Coriobacteriia	M	Glycosyltransferase like family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
WP_123184559.1	1235794.C811_00492	3.87e-112	327.0	COG2738@1|root,COG2738@2|Bacteria,2H5MB@201174|Actinobacteria,4CV8B@84998|Coriobacteriia	84998|Coriobacteriia	S	neutral zinc metallopeptidase	-	-	-	ko:K06973	-	-	-	-	ko00000	-	-	-	Zn_peptidase_2
WP_123184569.1	1235794.C811_00312	2.04e-139	405.0	COG0240@1|root,COG0240@2|Bacteria,2GJSD@201174|Actinobacteria,4CV3K@84998|Coriobacteriia	84998|Coriobacteriia	I	Glycerol-3-phosphate dehydrogenase	gpsA	-	1.1.1.94	ko:K00057	ko00564,ko01110,map00564,map01110	-	R00842,R00844	RC00029	ko00000,ko00001,ko01000	-	-	-	NAD_Gly3P_dh_C,NAD_Gly3P_dh_N
WP_123184570.1	502558.EGYY_17590	4.48e-68	216.0	COG0344@1|root,COG0344@2|Bacteria,2IF8Y@201174|Actinobacteria,4CVVI@84998|Coriobacteriia	84998|Coriobacteriia	I	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP	plsY	-	2.3.1.15	ko:K08591	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	G3P_acyltransf
WP_123184584.1	1235794.C811_01394	1.08e-45	161.0	COG2207@1|root,COG2207@2|Bacteria	2|Bacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding,HTH_18
WP_123184588.1	1235794.C811_00098	6.41e-32	113.0	2E3FD@1|root,32YE7@2|Bacteria,2HV3V@201174|Actinobacteria,4CW96@84998|Coriobacteriia	84998|Coriobacteriia	S	TSCPD domain	-	-	-	-	-	-	-	-	-	-	-	-	TSCPD
WP_123184593.1	1121866.AUGK01000011_gene536	3.26e-38	135.0	COG2891@1|root,COG2891@2|Bacteria,2HV1Z@201174|Actinobacteria,4CW66@84998|Coriobacteriia	84998|Coriobacteriia	M	rod shape-determining protein MreD	mreD	-	-	ko:K03571	-	-	-	-	ko00000,ko03036	9.B.157.1	-	-	MreD
WP_123184594.1	1121866.AUGK01000011_gene537	3.19e-96	294.0	COG1792@1|root,COG1792@2|Bacteria,2GJN0@201174|Actinobacteria,4CUZG@84998|Coriobacteriia	84998|Coriobacteriia	M	Involved in formation and maintenance of cell shape	mreC	-	-	ko:K03570	-	-	-	-	ko00000,ko03036	9.B.157.1	-	-	MreC
WP_123184595.1	1235794.C811_00375	1.7e-238	657.0	COG1077@1|root,COG1077@2|Bacteria,2GMD1@201174|Actinobacteria,4CU7F@84998|Coriobacteriia	84998|Coriobacteriia	D	Cell shape determining protein, MreB Mrl family	-	-	-	ko:K03569	-	-	-	-	ko00000,ko02048,ko03036,ko04812	1.A.33.1,9.B.157.1	-	-	MreB_Mbl
WP_123184600.1	1235794.C811_00704	2.02e-44	146.0	COG3118@1|root,COG3118@2|Bacteria,2IQ9T@201174|Actinobacteria,4CWAM@84998|Coriobacteriia	84998|Coriobacteriia	O	Belongs to the thioredoxin family	trxA	-	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
WP_123184601.1	1384484.AEQU_1144	1.3e-129	379.0	COG0492@1|root,COG0492@2|Bacteria,2GKD2@201174|Actinobacteria,4CVBT@84998|Coriobacteriia	84998|Coriobacteriia	C	Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family	-	-	1.8.1.9	ko:K00384	ko00450,map00450	-	R02016,R03596,R09372	RC00013,RC02518,RC02873	ko00000,ko00001,ko01000	-	-	-	Pyr_redox_2
WP_123184603.1	1235794.C811_00706	5.99e-72	221.0	COG1933@1|root,COG1933@2|Bacteria,2GU4W@201174|Actinobacteria,4CVSK@84998|Coriobacteriia	84998|Coriobacteriia	L	Double zinc ribbon	-	-	-	-	-	-	-	-	-	-	-	-	DZR,PLDc_N,zinc_ribbon_2
WP_123184606.1	1121866.AUGK01000015_gene1993	2.97e-131	374.0	COG0740@1|root,COG0740@2|Bacteria,2GKNK@201174|Actinobacteria,4CUGY@84998|Coriobacteriia	84998|Coriobacteriia	O	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins	clpP	-	3.4.21.92	ko:K01358	ko04112,ko04212,map04112,map04212	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	CLP_protease
WP_123184607.1	1384484.AEQU_1153	3.16e-180	520.0	COG0544@1|root,COG0544@2|Bacteria,2GJIG@201174|Actinobacteria,4CV3Q@84998|Coriobacteriia	84998|Coriobacteriia	D	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase	tig	-	-	ko:K03545	-	-	-	-	ko00000	-	-	-	Trigger_C,Trigger_N
WP_123184611.1	479437.Elen_1311	2.29e-203	574.0	COG0568@1|root,COG0568@2|Bacteria,2GK3Z@201174|Actinobacteria,4CV1T@84998|Coriobacteriia	84998|Coriobacteriia	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth	sigA	-	-	ko:K03086	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r1_1,Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4
WP_123184612.1	479437.Elen_1306	1.22e-250	694.0	COG0192@1|root,COG0192@2|Bacteria,2GJ4U@201174|Actinobacteria,4CU9D@84998|Coriobacteriia	84998|Coriobacteriia	H	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme	metK	-	2.5.1.6	ko:K00789	ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230	M00034,M00035,M00368,M00609	R00177,R04771	RC00021,RC01211	ko00000,ko00001,ko00002,ko01000	-	-	-	S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N
WP_123184613.1	525318.HMPREF0497_0893	1.64e-10	65.5	COG1309@1|root,COG1309@2|Bacteria,1VH11@1239|Firmicutes,4IEW1@91061|Bacilli,3F4NX@33958|Lactobacillaceae	91061|Bacilli	K	Bacterial regulatory proteins, tetR family	-	-	-	-	-	-	-	-	-	-	-	-	TetR_N
WP_123184623.1	479437.Elen_1305	4.3e-255	708.0	COG2308@1|root,COG2308@2|Bacteria,2HUKZ@201174|Actinobacteria,4CV31@84998|Coriobacteriia	84998|Coriobacteriia	S	Evidence 4 Homologs of previously reported genes of	-	-	-	-	-	-	-	-	-	-	-	-	CP_ATPgrasp_2,GSP_synth
WP_123184625.1	1235794.C811_00751	3.6e-292	809.0	COG0008@1|root,COG0008@2|Bacteria,2GJJS@201174|Actinobacteria,4CV46@84998|Coriobacteriia	84998|Coriobacteriia	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)	gltX	-	6.1.1.17	ko:K01885	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120	M00121,M00359,M00360	R05578	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016	-	-	-	tRNA-synt_1c
WP_123184628.1	1384484.AEQU_1232	5.59e-126	362.0	COG0177@1|root,COG0177@2|Bacteria,2GJ01@201174|Actinobacteria,4CUMC@84998|Coriobacteriia	84998|Coriobacteriia	L	DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate	nth	-	4.2.99.18	ko:K10773	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	EndIII_4Fe-2S,HhH-GPD
WP_123184629.1	1235794.C811_00766	2.82e-57	182.0	2A08F@1|root,30NBQ@2|Bacteria,2HV3M@201174|Actinobacteria,4CW8S@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_123184630.1	1235794.C811_00769	8.24e-131	375.0	COG1969@1|root,COG1969@2|Bacteria,2GUTZ@201174|Actinobacteria,4CUB3@84998|Coriobacteriia	84998|Coriobacteriia	C	Cytochrome b/b6/petB	-	-	-	ko:K03620	ko02020,map02020	-	-	-	ko00000,ko00001	-	-	-	Ni_hydr_CYTB
WP_123184631.1	1235794.C811_00770	0.0	898.0	COG0374@1|root,COG0374@2|Bacteria,2GKQY@201174|Actinobacteria,4CVAH@84998|Coriobacteriia	84998|Coriobacteriia	C	Nickel-dependent hydrogenase	-	-	1.12.99.6	ko:K06281	ko00633,ko01120,map00633,map01120	-	R08034	RC00250	ko00000,ko00001,ko01000	-	-	-	NiFeSe_Hases
WP_123184632.1	1235794.C811_00771	3.36e-242	673.0	COG1740@1|root,COG1740@2|Bacteria,2GKF2@201174|Actinobacteria,4CV4A@84998|Coriobacteriia	84998|Coriobacteriia	C	NiFe/NiFeSe hydrogenase small subunit C-terminal	-	-	1.12.99.6	ko:K06282	ko00633,ko01120,map00633,map01120	-	R08034	RC00250	ko00000,ko00001,ko01000	-	-	-	NiFe_hyd_SSU_C,Oxidored_q6
WP_123184633.1	479437.Elen_1274	5.81e-143	410.0	COG0077@1|root,COG0077@2|Bacteria,2GJQ5@201174|Actinobacteria,4CUEH@84998|Coriobacteriia	84998|Coriobacteriia	E	Prephenate dehydratase	-	-	4.2.1.51,5.4.99.5	ko:K04518,ko:K14170	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00024,M00025	R00691,R01373,R01715	RC00360,RC03116	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT,CM_2,PDT
WP_123184636.1	1034345.CAEM01000023_gene819	2.72e-137	412.0	COG0464@1|root,COG0464@2|Bacteria,2HUN7@201174|Actinobacteria,4CV65@84998|Coriobacteriia	84998|Coriobacteriia	O	growth	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_123184638.1	1034345.CAEM01000011_gene1300	1.68e-51	176.0	2B1CW@1|root,31TTF@2|Bacteria,2HV6C@201174|Actinobacteria,4CWDW@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_123184639.1	1235794.C811_00079	8.9e-125	356.0	COG0231@1|root,COG0231@2|Bacteria,2GJMS@201174|Actinobacteria,4CV48@84998|Coriobacteriia	84998|Coriobacteriia	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase	efp	-	-	ko:K02356	-	-	-	-	ko00000,ko03012	-	-	-	EFP,EFP_N,Elong-fact-P_C
