Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000003	N0	n0	0.8	Non-Terminal	senegalimassilia_faecalis_WP_129424999.1, collinsella_aerofaciens_WP_164473294.1, collinsella_aerofaciens_WP_124786103.1, senegalimassilia_faecalis_WP_201738743.1, senegalimassilia_faecalis_WP_129423013.1, senegalimassilia_anaerobia_WP_042436049.1, collinsella_provencensis_WP_102337299.1	collinsella_aerofaciens_WP_124786265.1, senegalimassilia_faecalis_WP_129424990.1, collinsella_aerofaciens_WP_124786013.1, collinsella_intestinalis_WP_152063020.1, senegalimassilia_faecalis_WP_129423014.1, senegalimassilia_faecalis_WP_129424974.1, senegalimassilia_faecalis_WP_129425019.1, senegalimassilia_faecalis_WP_129424976.1, senegalimassilia_faecalis_WP_161566653.1, senegalimassilia_faecalis_WP_129424997.1, collinsella_aerofaciens_WP_117772957.1, collinsella_aerofaciens_WP_117772953.1, collinsella_aerofaciens_WP_124786183.1, senegalimassilia_anaerobia_WP_042436074.1, senegalimassilia_faecalis_WP_129424992.1, senegalimassilia_faecalis_WP_129423015.1, collinsella_provencensis_WP_199824816.1, collinsella_provencensis_WP_159060018.1
OG0000003	N0	n1	0.2	Non-Terminal	senegalimassilia_faecalis_WP_129424999.1, collinsella_aerofaciens_WP_164473294.1, collinsella_aerofaciens_WP_124786103.1, senegalimassilia_faecalis_WP_201738743.1	senegalimassilia_faecalis_WP_129423013.1, senegalimassilia_anaerobia_WP_042436049.1, collinsella_provencensis_WP_102337299.1
OG0000003	N0	n2	0.4	Non-Terminal	senegalimassilia_faecalis_WP_129424999.1, collinsella_aerofaciens_WP_164473294.1	collinsella_aerofaciens_WP_124786103.1, senegalimassilia_faecalis_WP_201738743.1
OG0000003	N0	n7	0.4	Non-Terminal	collinsella_aerofaciens_WP_124786265.1, senegalimassilia_faecalis_WP_129424990.1, collinsella_aerofaciens_WP_124786013.1, collinsella_intestinalis_WP_152063020.1, senegalimassilia_faecalis_WP_129423014.1, senegalimassilia_faecalis_WP_129424974.1, senegalimassilia_faecalis_WP_129425019.1, senegalimassilia_faecalis_WP_129424976.1, senegalimassilia_faecalis_WP_161566653.1	senegalimassilia_faecalis_WP_129424997.1, collinsella_aerofaciens_WP_117772957.1, collinsella_aerofaciens_WP_117772953.1, collinsella_aerofaciens_WP_124786183.1, senegalimassilia_anaerobia_WP_042436074.1, senegalimassilia_faecalis_WP_129424992.1, senegalimassilia_faecalis_WP_129423015.1, collinsella_provencensis_WP_199824816.1, collinsella_provencensis_WP_159060018.1
OG0000003	N0	n8	0.4	Non-Terminal	collinsella_aerofaciens_WP_124786265.1, senegalimassilia_faecalis_WP_129424990.1	collinsella_aerofaciens_WP_124786013.1, collinsella_intestinalis_WP_152063020.1, senegalimassilia_faecalis_WP_129423014.1, senegalimassilia_faecalis_WP_129424974.1, senegalimassilia_faecalis_WP_129425019.1, senegalimassilia_faecalis_WP_129424976.1, senegalimassilia_faecalis_WP_161566653.1
OG0000003	senegalimassilia_faecalis	n12	1.0	Terminal	senegalimassilia_faecalis_WP_129423014.1	senegalimassilia_faecalis_WP_129424974.1, senegalimassilia_faecalis_WP_129425019.1, senegalimassilia_faecalis_WP_129424976.1, senegalimassilia_faecalis_WP_161566653.1
OG0000003	senegalimassilia_faecalis	n13	1.0	Terminal	senegalimassilia_faecalis_WP_129424974.1, senegalimassilia_faecalis_WP_129425019.1	senegalimassilia_faecalis_WP_129424976.1, senegalimassilia_faecalis_WP_161566653.1
OG0000003	senegalimassilia_faecalis	n14	1.0	Terminal	senegalimassilia_faecalis_WP_129424974.1	senegalimassilia_faecalis_WP_129425019.1
OG0000003	senegalimassilia_faecalis	n15	1.0	Terminal	senegalimassilia_faecalis_WP_129424976.1	senegalimassilia_faecalis_WP_161566653.1
OG0000003	N0	n16	0.4	Non-Terminal	senegalimassilia_faecalis_WP_129424997.1, collinsella_aerofaciens_WP_117772957.1, collinsella_aerofaciens_WP_117772953.1	collinsella_aerofaciens_WP_124786183.1, senegalimassilia_anaerobia_WP_042436074.1, senegalimassilia_faecalis_WP_129424992.1, senegalimassilia_faecalis_WP_129423015.1, collinsella_provencensis_WP_199824816.1, collinsella_provencensis_WP_159060018.1
OG0000003	collinsella_aerofaciens	n18	1.0	Terminal	collinsella_aerofaciens_WP_117772957.1	collinsella_aerofaciens_WP_117772953.1
OG0000003	senegalimassilia_faecalis	n22	1.0	Terminal	senegalimassilia_faecalis_WP_129424992.1	senegalimassilia_faecalis_WP_129423015.1
OG0000003	collinsella_provencensis	n23	1.0	Terminal	collinsella_provencensis_WP_199824816.1	collinsella_provencensis_WP_159060018.1
OG0000004	collinsella_aerofaciens	n1	1.0	Terminal	collinsella_aerofaciens_WP_117584077.1	collinsella_aerofaciens_WP_022095206.1
OG0000004	senegalimassilia_faecalis	n3	1.0	Terminal	senegalimassilia_faecalis_WP_201738679.1, senegalimassilia_faecalis_WP_129424515.1	senegalimassilia_faecalis_WP_129424529.1, senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1, senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1, senegalimassilia_faecalis_WP_129425820.1, senegalimassilia_faecalis_WP_129425634.1, senegalimassilia_faecalis_WP_129424261.1, senegalimassilia_faecalis_WP_129423613.1, senegalimassilia_faecalis_WP_201738778.1, senegalimassilia_faecalis_WP_201738767.1, senegalimassilia_faecalis_WP_129423383.1, senegalimassilia_faecalis_WP_129423028.1, senegalimassilia_faecalis_WP_129425133.1
OG0000004	senegalimassilia_faecalis	n4	1.0	Terminal	senegalimassilia_faecalis_WP_201738679.1	senegalimassilia_faecalis_WP_129424515.1
OG0000004	senegalimassilia_faecalis	n5	1.0	Terminal	senegalimassilia_faecalis_WP_129424529.1	senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1, senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1, senegalimassilia_faecalis_WP_129425820.1, senegalimassilia_faecalis_WP_129425634.1, senegalimassilia_faecalis_WP_129424261.1, senegalimassilia_faecalis_WP_129423613.1, senegalimassilia_faecalis_WP_201738778.1, senegalimassilia_faecalis_WP_201738767.1, senegalimassilia_faecalis_WP_129423383.1, senegalimassilia_faecalis_WP_129423028.1, senegalimassilia_faecalis_WP_129425133.1
OG0000004	senegalimassilia_faecalis	n6	1.0	Terminal	senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1, senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1, senegalimassilia_faecalis_WP_129425820.1, senegalimassilia_faecalis_WP_129425634.1, senegalimassilia_faecalis_WP_129424261.1, senegalimassilia_faecalis_WP_129423613.1, senegalimassilia_faecalis_WP_201738778.1, senegalimassilia_faecalis_WP_201738767.1, senegalimassilia_faecalis_WP_129423383.1, senegalimassilia_faecalis_WP_129423028.1	senegalimassilia_faecalis_WP_129425133.1
OG0000004	senegalimassilia_faecalis	n7	1.0	Terminal	senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1, senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1, senegalimassilia_faecalis_WP_129425820.1, senegalimassilia_faecalis_WP_129425634.1, senegalimassilia_faecalis_WP_129424261.1, senegalimassilia_faecalis_WP_129423613.1, senegalimassilia_faecalis_WP_201738778.1, senegalimassilia_faecalis_WP_201738767.1	senegalimassilia_faecalis_WP_129423383.1, senegalimassilia_faecalis_WP_129423028.1
OG0000004	senegalimassilia_faecalis	n8	1.0	Terminal	senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1, senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1, senegalimassilia_faecalis_WP_129425820.1, senegalimassilia_faecalis_WP_129425634.1, senegalimassilia_faecalis_WP_129424261.1, senegalimassilia_faecalis_WP_129423613.1	senegalimassilia_faecalis_WP_201738778.1, senegalimassilia_faecalis_WP_201738767.1
OG0000004	senegalimassilia_faecalis	n9	1.0	Terminal	senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1, senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1, senegalimassilia_faecalis_WP_129425820.1, senegalimassilia_faecalis_WP_129425634.1	senegalimassilia_faecalis_WP_129424261.1, senegalimassilia_faecalis_WP_129423613.1
OG0000004	senegalimassilia_faecalis	n10	1.0	Terminal	senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1, senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1	senegalimassilia_faecalis_WP_129425820.1, senegalimassilia_faecalis_WP_129425634.1
OG0000004	senegalimassilia_faecalis	n11	1.0	Terminal	senegalimassilia_faecalis_WP_129425626.1, senegalimassilia_faecalis_WP_129425246.1	senegalimassilia_faecalis_WP_201738779.1, senegalimassilia_faecalis_WP_129424695.1
OG0000004	senegalimassilia_faecalis	n12	1.0	Terminal	senegalimassilia_faecalis_WP_129425626.1	senegalimassilia_faecalis_WP_129425246.1
OG0000004	senegalimassilia_faecalis	n13	1.0	Terminal	senegalimassilia_faecalis_WP_201738779.1	senegalimassilia_faecalis_WP_129424695.1
OG0000004	senegalimassilia_faecalis	n14	1.0	Terminal	senegalimassilia_faecalis_WP_129425820.1	senegalimassilia_faecalis_WP_129425634.1
OG0000004	senegalimassilia_faecalis	n15	1.0	Terminal	senegalimassilia_faecalis_WP_129424261.1	senegalimassilia_faecalis_WP_129423613.1
OG0000004	senegalimassilia_faecalis	n16	1.0	Terminal	senegalimassilia_faecalis_WP_201738778.1	senegalimassilia_faecalis_WP_201738767.1
OG0000004	senegalimassilia_faecalis	n17	1.0	Terminal	senegalimassilia_faecalis_WP_129423383.1	senegalimassilia_faecalis_WP_129423028.1
OG0000005	N1	n1	1.0	Non-Terminal	senegalimassilia_faecalis_WP_236648243.1, senegalimassilia_faecalis_WP_129423375.1, senegalimassilia_anaerobia_WP_052297769.1	senegalimassilia_anaerobia_WP_052297788.1, senegalimassilia_faecalis_WP_129424287.1, senegalimassilia_faecalis_WP_129423043.1
OG0000005	senegalimassilia_faecalis	n3	1.0	Terminal	senegalimassilia_faecalis_WP_236648243.1	senegalimassilia_faecalis_WP_129423375.1
OG0000005	senegalimassilia_faecalis	n5	1.0	Terminal	senegalimassilia_faecalis_WP_129424287.1	senegalimassilia_faecalis_WP_129423043.1
OG0000005	N2	n6	0.333333333333	Non-Terminal	collinsella_intestinalis_WP_226803352.1, collinsella_intestinalis_WP_152063801.1	collinsella_aerofaciens_WP_124786548.1, collinsella_intestinalis_WP_152063280.1, collinsella_provencensis_WP_102337688.1, collinsella_intestinalis_WP_152063576.1, collinsella_provencensis_WP_102337713.1, collinsella_aerofaciens_WP_117773004.1, collinsella_aerofaciens_WP_124785713.1, collinsella_aerofaciens_WP_124785914.1, collinsella_intestinalis_WP_152062718.1
OG0000005	collinsella_intestinalis	n7	1.0	Terminal	collinsella_intestinalis_WP_226803352.1	collinsella_intestinalis_WP_152063801.1
OG0000005	N2	n8	1.0	Non-Terminal	collinsella_aerofaciens_WP_124786548.1, collinsella_intestinalis_WP_152063280.1, collinsella_provencensis_WP_102337688.1, collinsella_intestinalis_WP_152063576.1	collinsella_provencensis_WP_102337713.1, collinsella_aerofaciens_WP_117773004.1, collinsella_aerofaciens_WP_124785713.1, collinsella_aerofaciens_WP_124785914.1, collinsella_intestinalis_WP_152062718.1
OG0000005	N2	n9	0.333333333333	Non-Terminal	collinsella_aerofaciens_WP_124786548.1, collinsella_intestinalis_WP_152063280.1, collinsella_provencensis_WP_102337688.1	collinsella_intestinalis_WP_152063576.1
