## Wed Dec 28 16:30:38 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_onwcr_5u --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_onwcr_5u --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_onwcr_5u/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_042433704.1	649764.HMPREF0762_00366	9.35e-68	205.0	COG0051@1|root,COG0051@2|Bacteria,2IHRA@201174|Actinobacteria,4CW31@84998|Coriobacteriia	84998|Coriobacteriia	J	Involved in the binding of tRNA to the ribosomes	rpsJ	-	-	ko:K02946	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S10
WP_042434605.1	1034345.CAEM01000023_gene831	1.36e-244	672.0	COG1077@1|root,COG1077@2|Bacteria,2GMD1@201174|Actinobacteria,4CU7F@84998|Coriobacteriia	84998|Coriobacteriia	D	Cell shape determining protein, MreB Mrl family	-	-	-	ko:K03569	-	-	-	-	ko00000,ko02048,ko03036,ko04812	1.A.33.1,9.B.157.1	-	-	MreB_Mbl
WP_042434618.1	1034345.CAEM01000023_gene836	1.36e-91	268.0	COG0105@1|root,COG0105@2|Bacteria,2IFBU@201174|Actinobacteria,4CVPI@84998|Coriobacteriia	84998|Coriobacteriia	F	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate	ndk	-	2.7.4.6	ko:K00940	ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016	M00049,M00050,M00052,M00053	R00124,R00139,R00156,R00330,R00570,R00722,R01137,R01857,R02093,R02326,R02331,R03530,R11894,R11895	RC00002	ko00000,ko00001,ko00002,ko01000,ko04131	-	-	-	NDK
WP_042434722.1	1034345.CAEM01000023_gene880	7.58e-30	105.0	COG0267@1|root,COG0267@2|Bacteria,2GQFG@201174|Actinobacteria,4CWGB@84998|Coriobacteriia	84998|Coriobacteriia	J	Belongs to the bacterial ribosomal protein bL33 family	rpmG	-	-	ko:K02913	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L33
WP_042435060.1	1034345.CAEM01000026_gene1041	2.67e-39	130.0	COG0636@1|root,COG0636@2|Bacteria,2HGDD@201174|Actinobacteria,4CWFI@84998|Coriobacteriia	84998|Coriobacteriia	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpE	-	-	ko:K02110	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	ATP-synt_C
WP_042436473.1	1034345.CAEM01000050_gene1553	8.09e-44	142.0	COG1278@1|root,COG1278@2|Bacteria,2GQRU@201174|Actinobacteria,4CWAW@84998|Coriobacteriia	84998|Coriobacteriia	K	'Cold-shock' DNA-binding domain	-	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
WP_042436934.1	1034345.CAEM01000057_gene539	5.9e-46	147.0	COG0361@1|root,COG0361@2|Bacteria,2IQ4B@201174|Actinobacteria,4CWB4@84998|Coriobacteriia	84998|Coriobacteriia	J	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex	infA	-	-	ko:K02518	-	-	-	-	ko00000,ko03012	-	-	-	eIF-1a
WP_075279298.1	883077.HMPREF9241_01322	6.57e-176	491.0	COG1192@1|root,COG1192@2|Bacteria,2HFXZ@201174|Actinobacteria,4D75X@85005|Actinomycetales	201174|Actinobacteria	D	AAA domain	-	-	-	-	-	-	-	-	-	-	-	-	AAA_31
WP_075279302.1	1034345.CAEM01000017_gene1582	5.19e-127	361.0	2B1H5@1|root,31TY3@2|Bacteria,2HVB5@201174|Actinobacteria,4CWKS@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_075279303.1	435830.HMPREF0045_01635	0.0	905.0	COG0488@1|root,COG0488@2|Bacteria,2H2VG@201174|Actinobacteria,4D5PN@85005|Actinomycetales	201174|Actinobacteria	S	ABC transporter	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran,ABC_tran_Xtn
WP_075279307.1	1034345.CAEM01000017_gene1577	6.42e-101	293.0	29ITQ@1|root,305R2@2|Bacteria,2HV1X@201174|Actinobacteria,4CW64@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_075279308.1	1034345.CAEM01000017_gene1576	1.8e-224	620.0	2B0U3@1|root,31T6M@2|Bacteria,2IDXF@201174|Actinobacteria,4CVA9@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	TrbL
WP_075843486.1	435830.HMPREF0045_01632	0.0	1241.0	COG0480@1|root,COG0480@2|Bacteria,2GJ64@201174|Actinobacteria,4D4AA@85005|Actinomycetales	201174|Actinobacteria	J	elongation factor G	tetM	-	-	ko:K18220	-	-	-	-	br01600,ko00000,ko01504	-	-	-	EFG_C,EFG_II,EFG_IV,GTP_EFTU
WP_075844146.1	1034345.CAEM01000015_gene276	2.91e-228	629.0	COG4823@1|root,COG4823@2|Bacteria,2H1AS@201174|Actinobacteria,4CVUI@84998|Coriobacteriia	84998|Coriobacteriia	V	Abi-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Abi_2
WP_079535895.1	35760.BCHO_0798	9.55e-285	778.0	COG1475@1|root,COG1475@2|Bacteria,2H3YG@201174|Actinobacteria,4D24W@85004|Bifidobacteriales	201174|Actinobacteria	K	DNA binding	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_099432718.1	1034345.CAEM01000017_gene1592	1.97e-92	270.0	2B1F6@1|root,31TVW@2|Bacteria,2GQRY@201174|Actinobacteria,4CWHG@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_101677768.1	1034345.CAEM01000017_gene1593	1.16e-268	734.0	COG0582@1|root,COG0582@2|Bacteria,2HUNW@201174|Actinobacteria,4CV8J@84998|Coriobacteriia	84998|Coriobacteriia	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_4,Phage_int_SAM_3,Phage_integrase
WP_101677769.1	1690.BPSG_0226	0.0	995.0	COG1479@1|root,COG1479@2|Bacteria,2I99F@201174|Actinobacteria,4D0NA@85004|Bifidobacteriales	201174|Actinobacteria	S	Protein of unknown function DUF262	-	-	-	-	-	-	-	-	-	-	-	-	DUF1524,DUF262,DUF4357
WP_101677771.1	35760.BCHO_0799	4.06e-264	727.0	2A0HB@1|root,30NMF@2|Bacteria,2H20Y@201174|Actinobacteria,4D1VQ@85004|Bifidobacteriales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_101677773.1	883077.HMPREF9241_01321	4.86e-210	582.0	COG1475@1|root,COG1475@2|Bacteria,2HMFI@201174|Actinobacteria,4D6X8@85005|Actinomycetales	201174|Actinobacteria	K	ParB-like nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	ParBc
WP_101677788.1	1034345.CAEM01000015_gene279	5.67e-53	166.0	2A3S7@1|root,30SA2@2|Bacteria,2HD8K@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_101677789.1	1034345.CAEM01000015_gene278	5.69e-44	142.0	2C6FK@1|root,300XE@2|Bacteria,2H8H8@201174|Actinobacteria,4CYDF@84998|Coriobacteriia	1034345.CAEM01000015_gene278|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_106629377.1	1256908.HMPREF0373_00083	1.11e-138	392.0	COG3340@1|root,COG3340@2|Bacteria,1V244@1239|Firmicutes,24A93@186801|Clostridia,25Y5D@186806|Eubacteriaceae	186801|Clostridia	E	Belongs to the peptidase S51 family	-	-	3.4.13.21	ko:K05995	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_S51
WP_114554762.1	479437.Elen_0847	5.01e-118	338.0	COG5340@1|root,COG5340@2|Bacteria,2IMTJ@201174|Actinobacteria,4CWAJ@84998|Coriobacteriia	84998|Coriobacteriia	K	Transcriptional regulator, AbiEi antitoxin	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_114620627.1	1034345.CAEM01000002_gene1162	2.87e-207	572.0	COG4336@1|root,COG4336@2|Bacteria,2GMIU@201174|Actinobacteria,4CUW0@84998|Coriobacteriia	84998|Coriobacteriia	S	Protein of unknown function (DUF1445)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1445
WP_117205493.1	883077.HMPREF9241_01319	9.56e-286	783.0	COG3843@1|root,COG3843@2|Bacteria,2IE8V@201174|Actinobacteria,4D703@85005|Actinomycetales	201174|Actinobacteria	U	Relaxase/Mobilisation nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	Relaxase
WP_117655969.1	1034345.CAEM01000017_gene1579	6.33e-148	419.0	COG4509@1|root,COG4509@2|Bacteria,2HV1Y@201174|Actinobacteria,4CW65@84998|Coriobacteriia	84998|Coriobacteriia	S	Sortase family	-	-	-	-	-	-	-	-	-	-	-	-	Sortase
WP_117655970.1	1034345.CAEM01000017_gene1578	0.0	1680.0	COG4932@1|root,COG4932@2|Bacteria,2IK2B@201174|Actinobacteria,4CVBE@84998|Coriobacteriia	84998|Coriobacteriia	M	Cna protein B-type domain	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_118351045.1	1235794.C811_02347	1.05e-72	227.0	COG0437@1|root,COG0437@2|Bacteria,2HUVQ@201174|Actinobacteria,4CVTE@84998|Coriobacteriia	84998|Coriobacteriia	C	PFAM 4Fe-4S ferredoxin iron-sulfur binding domain protein	-	-	-	ko:K02573	-	-	-	-	ko00000	-	-	-	Fer4_6,Fer4_7
WP_118351051.1	1384484.AEQU_0356	0.0	1578.0	COG0243@1|root,COG0243@2|Bacteria,2GNYQ@201174|Actinobacteria,4CVCJ@84998|Coriobacteriia	84998|Coriobacteriia	C	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	-	-	-	-	-	-	-	-	-	-	-	-	Molybdop_Fe4S4,Molybdopterin,Molydop_binding
WP_118351053.1	1235794.C811_02342	5.62e-52	176.0	2CANR@1|root,32A3B@2|Bacteria,2HTPU@201174|Actinobacteria,4CW5D@84998|Coriobacteriia	84998|Coriobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_118449093.1	742818.HMPREF9451_00623	5.25e-298	813.0	COG4584@1|root,COG4584@2|Bacteria,2HUJ6@201174|Actinobacteria,4CUWI@84998|Coriobacteriia	84998|Coriobacteriia	L	PFAM Integrase catalytic	-	-	-	-	-	-	-	-	-	-	-	-	rve
WP_129422791.1	411467.BACCAP_00200	3.72e-31	137.0	COG1132@1|root,COG1132@2|Bacteria,1TRJF@1239|Firmicutes,249CN@186801|Clostridia,267JP@186813|unclassified Clostridiales	186801|Clostridia	V	ABC transporter transmembrane region	-	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
WP_129422793.1	742818.HMPREF9451_00622	7.66e-179	499.0	COG1484@1|root,COG1484@2|Bacteria,2H714@201174|Actinobacteria,4CX3U@84998|Coriobacteriia	84998|Coriobacteriia	L	Bacterial dnaA  protein	-	-	-	-	-	-	-	-	-	-	-	-	IstB_IS21
WP_129422794.1	742818.HMPREF9451_00623	7.46e-298	812.0	COG4584@1|root,COG4584@2|Bacteria,2HUJ6@201174|Actinobacteria,4CUWI@84998|Coriobacteriia	84998|Coriobacteriia	L	PFAM Integrase catalytic	-	-	-	-	-	-	-	-	-	-	-	-	rve
WP_129422795.1	1089553.Tph_c01320	1.25e-65	213.0	COG1235@1|root,COG1235@2|Bacteria,1UZBT@1239|Firmicutes,25DUR@186801|Clostridia	186801|Clostridia	S	Metallo-beta-lactamase superfamily	-	-	3.1.4.55	ko:K06167	ko00440,map00440	-	R10205	RC00296	ko00000,ko00001,ko01000	-	-	-	Lactamase_B_2
WP_129422796.1	742735.HMPREF9467_04992	3.24e-57	193.0	COG1957@1|root,COG1957@2|Bacteria,1UY08@1239|Firmicutes,24B2H@186801|Clostridia,21Z31@1506553|Lachnoclostridium	186801|Clostridia	F	Inosine-uridine preferring nucleoside hydrolase	-	-	3.2.2.1	ko:K01239	ko00230,ko00760,ko01100,map00230,map00760,map01100	-	R01245,R01273,R01677,R01770,R02143	RC00033,RC00063,RC00122,RC00318,RC00485	ko00000,ko00001,ko01000	-	-	-	IU_nuc_hydro
WP_129422798.1	479437.Elen_1850	1.48e-224	629.0	COG1804@1|root,COG1804@2|Bacteria,2GRB0@201174|Actinobacteria,4CV2G@84998|Coriobacteriia	84998|Coriobacteriia	C	dehydratase	-	-	-	-	-	-	-	-	-	-	-	-	CoA_transf_3
WP_129422799.1	1384484.AEQU_0959	3.56e-200	563.0	COG1960@1|root,COG1960@2|Bacteria,2GIX8@201174|Actinobacteria,4CURW@84998|Coriobacteriia	84998|Coriobacteriia	C	Acyl-CoA dehydrogenase, C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N
WP_129422800.1	1384484.AEQU_0961	8.96e-131	381.0	COG0583@1|root,COG0583@2|Bacteria,2HF56@201174|Actinobacteria,4CVXE@84998|Coriobacteriia	84998|Coriobacteriia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
WP_129422802.1	1034345.CAEM01000019_gene1831	2.07e-88	261.0	COG0779@1|root,COG0779@2|Bacteria,2HUVT@201174|Actinobacteria,4CVTM@84998|Coriobacteriia	84998|Coriobacteriia	J	Required for maturation of 30S ribosomal subunits	rimP	-	-	ko:K09748	-	-	-	-	ko00000,ko03009	-	-	-	DUF150,DUF150_C
WP_129422803.1	1034345.CAEM01000019_gene1830	5.91e-276	756.0	COG0195@1|root,COG0195@2|Bacteria,2GJDJ@201174|Actinobacteria,4CUWV@84998|Coriobacteriia	84998|Coriobacteriia	K	Participates in both transcription termination and antitermination	nusA	-	-	ko:K02600	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	KH_5,NusA_N
WP_129422804.1	1034345.CAEM01000019_gene1829	4.78e-52	165.0	COG2740@1|root,COG2740@2|Bacteria,2HV7N@201174|Actinobacteria,4CWGA@84998|Coriobacteriia	84998|Coriobacteriia	K	Protein of unknown function (DUF448)	-	-	-	ko:K07742	-	-	-	-	ko00000	-	-	-	DUF448
WP_129422805.1	1034345.CAEM01000019_gene1828	0.0	1401.0	COG0532@1|root,COG0532@2|Bacteria,2GKPH@201174|Actinobacteria,4CUAY@84998|Coriobacteriia	84998|Coriobacteriia	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex	infB	-	-	ko:K02519	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	GTP_EFTU,GTP_EFTU_D2,IF-2,IF2_N
WP_129422806.1	1034345.CAEM01000019_gene1827	1.33e-72	220.0	COG0858@1|root,COG0858@2|Bacteria,2HV01@201174|Actinobacteria,4CW2Y@84998|Coriobacteriia	84998|Coriobacteriia	J	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA	rbfA	-	-	ko:K02834	-	-	-	-	ko00000,ko03009	-	-	-	RBFA
WP_129422807.1	1034345.CAEM01000019_gene1826	1.18e-171	486.0	COG0618@1|root,COG0618@2|Bacteria,2GN9Z@201174|Actinobacteria,4CUKD@84998|Coriobacteriia	84998|Coriobacteriia	S	DHHA1 domain	-	-	3.1.13.3,3.1.3.7	ko:K06881	ko00920,ko01100,ko01120,map00920,map01100,map01120	-	R00188,R00508	RC00078	ko00000,ko00001,ko01000,ko03400	-	-	-	DHH,DHHA1
WP_129422808.1	1034345.CAEM01000019_gene1825	1.01e-203	568.0	COG0130@1|root,COG0130@2|Bacteria,2GJZK@201174|Actinobacteria,4CUJN@84998|Coriobacteriia	84998|Coriobacteriia	J	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs	truB	-	5.4.99.25	ko:K03177	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	TruB_C_2,TruB_N
WP_129422809.1	1034345.CAEM01000019_gene1824	9.61e-184	515.0	COG0196@1|root,COG0196@2|Bacteria,2GKQF@201174|Actinobacteria,4CUHV@84998|Coriobacteriia	84998|Coriobacteriia	H	riboflavin biosynthesis protein	ribF	-	2.7.1.26,2.7.7.2	ko:K11753	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R00161,R00549	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	FAD_syn,Flavokinase
WP_129422810.1	1034345.CAEM01000019_gene1823	0.0	884.0	COG0334@1|root,COG0334@2|Bacteria,2GKXG@201174|Actinobacteria,4CUBQ@84998|Coriobacteriia	84998|Coriobacteriia	C	Belongs to the Glu Leu Phe Val dehydrogenases family	-	-	1.4.1.4	ko:K00262	ko00220,ko00250,ko00910,ko01100,map00220,map00250,map00910,map01100	-	R00248	RC00006,RC02799	ko00000,ko00001,ko01000	-	-	-	ELFV_dehydrog,ELFV_dehydrog_N
WP_129422811.1	1034345.CAEM01000019_gene1822	4.73e-212	594.0	COG0477@1|root,COG2814@2|Bacteria,2H012@201174|Actinobacteria,4CU9Z@84998|Coriobacteriia	84998|Coriobacteriia	EGP	Transporter, major facilitator family protein	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
WP_129422813.1	1034345.CAEM01000019_gene1818	1.93e-232	644.0	COG0391@1|root,COG0391@2|Bacteria,2GJBW@201174|Actinobacteria,4CV6D@84998|Coriobacteriia	84998|Coriobacteriia	S	Required for morphogenesis under gluconeogenic growth conditions	-	-	-	-	-	-	-	-	-	-	-	-	UPF0052
WP_129422814.1	1034345.CAEM01000019_gene1817	1.59e-200	558.0	COG1481@1|root,COG1481@2|Bacteria,2GJZU@201174|Actinobacteria,4CUY0@84998|Coriobacteriia	84998|Coriobacteriia	K	May be required for sporulation	whiA	-	-	ko:K09762	-	-	-	-	ko00000	-	-	-	HTH_WhiA,LAGLIDADG_WhiA,WhiA_N
WP_129422815.1	1034345.CAEM01000019_gene1816	1.1e-234	646.0	COG0057@1|root,COG0057@2|Bacteria,2GJK4@201174|Actinobacteria,4CUJP@84998|Coriobacteriia	84998|Coriobacteriia	C	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	gap	-	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	Gp_dh_C,Gp_dh_N
