# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	13069	14142	-							SFHG_RS03380	1074		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	13069	14142	-	WP_052297791.1	WP_052297791.1		4Fe-4S binding protein			SFHG_RS03380	1074	357	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	14164	15657	-					gltX		SFHG_RS03385	1494		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	14164	15657	-	WP_042433782.1	WP_042433782.1		glutamate--tRNA ligase	gltX		SFHG_RS03385	1494	497	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	16264	16809	-							SFHG_RS10575	546		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	16264	16809	-	WP_042433788.1	WP_042433788.1		hypothetical protein			SFHG_RS10575	546	181	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	16823	17326	-							SFHG_RS10580	504		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	16823	17326	-	WP_148514750.1	WP_148514750.1		hypothetical protein			SFHG_RS10580	504	167	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	17880	18608	-							SFHG_RS03405	729		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	17880	18608	-	WP_042433791.1	WP_042433791.1		DUF1461 domain-containing protein			SFHG_RS03405	729	242	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	18707	20107	-							SFHG_RS03410	1401		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	18707	20107	-	WP_042433793.1	WP_042433793.1		carboxylate--amine ligase			SFHG_RS03410	1401	466	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	20432	21697	+					metK		SFHG_RS03415	1266		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	20432	21697	+	WP_042433795.1	WP_042433795.1		methionine adenosyltransferase	metK		SFHG_RS03415	1266	421	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	22130	24688	+					priA		SFHG_RS03420	2559		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	22130	24688	+	WP_042433799.1	WP_042433799.1		primosomal protein N'	priA		SFHG_RS03420	2559	852	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	24888	26036	+					rpoD		SFHG_RS03425	1149		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	24888	26036	+	WP_238318282.1	WP_238318282.1		RNA polymerase sigma factor RpoD	rpoD		SFHG_RS03425	1149	382	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	26121	28454	+					rlmKL		SFHG_RS03430	2334		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	26121	28454	+	WP_042433805.1	WP_042433805.1		bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL	rlmKL		SFHG_RS03430	2334	777	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	28735	29391	-							SFHG_RS03435	657		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	28735	29391	-	WP_042433809.1	WP_042433809.1		DUF6198 family protein			SFHG_RS03435	657	218	
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	29582	29656	+							SFHG_RS03440	75		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	29582	29656	+				tRNA-Val			SFHG_RS03440	75		anticodon=CAC
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	29796	29870	+							SFHG_RS03445	75		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	29796	29870	+				tRNA-Ile			SFHG_RS03445	75		anticodon=CAT
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	30076	30714	-							SFHG_RS03450	639		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	30076	30714	-	WP_042433811.1	WP_042433811.1		lactate utilization protein			SFHG_RS03450	639	212	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	31070	32116	+					trpS		SFHG_RS03455	1047		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	31070	32116	+	WP_042433814.1	WP_042433814.1		tryptophan--tRNA ligase	trpS		SFHG_RS03455	1047	348	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	32370	32972	-							SFHG_RS03460	603		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	32370	32972	-	WP_042433817.1	WP_042433817.1		sugar transferase			SFHG_RS03460	603	200	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	32972	34255	-							SFHG_RS03465	1284		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	32972	34255	-	WP_042433820.1	WP_042433820.1		DegT/DnrJ/EryC1/StrS aminotransferase family protein			SFHG_RS03465	1284	427	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	34351	35664	-							SFHG_RS03470	1314		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	34351	35664	-	WP_042433822.1	WP_042433822.1		glycosyltransferase family 4 protein			SFHG_RS03470	1314	437	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	36050	36832	+							SFHG_RS03475	783		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	36050	36832	+	WP_042433824.1	WP_042433824.1		ATP-binding cassette domain-containing protein			SFHG_RS03475	783	260	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	36833	37516	+							SFHG_RS03480	684		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	36833	37516	+	WP_042433827.1	WP_042433827.1		ABC transporter permease			SFHG_RS03480	684	227	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	37782	39125	+							SFHG_RS03485	1344		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	37782	39125	+	WP_042433830.1	WP_042433830.1		glutamine synthetase family protein			SFHG_RS03485	1344	447	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	39163	39834	+							SFHG_RS03490	672		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	39163	39834	+	WP_042433833.1	WP_042433833.1		winged helix family transcriptional regulator			SFHG_RS03490	672	223	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	39934	42564	+					polA		SFHG_RS03495	2631		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	39934	42564	+	WP_042433838.1	WP_042433838.1		DNA polymerase I	polA		SFHG_RS03495	2631	876	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	42788	43093	+					rplU		SFHG_RS03500	306		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	42788	43093	+	WP_042433842.1	WP_042433842.1		50S ribosomal protein L21	rplU		SFHG_RS03500	306	101	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	43112	43363	+					rpmA		SFHG_RS03505	252		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	43112	43363	+	WP_042433844.1	WP_042433844.1		50S ribosomal protein L27	rpmA		SFHG_RS03505	252	83	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	43483	44877	+					obgE		SFHG_RS03510	1395		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	43483	44877	+	WP_042433847.1	WP_042433847.1		GTPase ObgE	obgE		SFHG_RS03510	1395	464	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	44877	46019	+					proB		SFHG_RS03515	1143		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	44877	46019	+	WP_042433850.1	WP_042433850.1		glutamate 5-kinase	proB		SFHG_RS03515	1143	380	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	46068	47375	+							SFHG_RS03520	1308		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	46068	47375	+	WP_042433853.1	WP_042433853.1		glutamate-5-semialdehyde dehydrogenase			SFHG_RS03520	1308	435	
gene	pseudogene	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	47434	48069	+					nadD		SFHG_RS11090	636		partial;pseudo
CDS	without_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	47434	48069	+				nicotinate-nucleotide adenylyltransferase	nadD		SFHG_RS11090	636		partial;pseudo
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	48262	48777	+					yqeK		SFHG_RS11095	516		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	48262	48777	+	WP_238318283.1	WP_238318283.1		bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK	yqeK		SFHG_RS11095	516	171	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	48774	49259	+					rsfS		SFHG_RS03530	486		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	48774	49259	+	WP_238318262.1	WP_238318262.1		ribosome silencing factor	rsfS		SFHG_RS03530	486	161	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	49601	52066	+							SFHG_RS03535	2466		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	49601	52066	+	WP_052297792.1	WP_052297792.1		hypothetical protein			SFHG_RS03535	2466	821	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	52336	55146	+					secA		SFHG_RS03540	2811		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	52336	55146	+	WP_042433859.1	WP_042433859.1		preprotein translocase subunit SecA	secA		SFHG_RS03540	2811	936	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	55240	56340	+					prfB		SFHG_RS03545	1101		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	55240	56340	+	WP_042433862.1	WP_042433862.1		peptide chain release factor 2	prfB		SFHG_RS03545	1101	366	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	56499	57326	+							SFHG_RS03550	828		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	56499	57326	+	WP_042433865.1	WP_042433865.1		transketolase			SFHG_RS03550	828	275	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	57330	58295	+							SFHG_RS03555	966		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	57330	58295	+	WP_042433868.1	WP_042433868.1		transketolase			SFHG_RS03555	966	321	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	58352	59194	+					ftsE		SFHG_RS03560	843		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	58352	59194	+	WP_042433871.1	WP_042433871.1		cell division ATP-binding protein FtsE	ftsE		SFHG_RS03560	843	280	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	59187	60095	+					ftsX		SFHG_RS03565	909		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	59187	60095	+	WP_042433874.1	WP_042433874.1		permease-like cell division protein FtsX	ftsX		SFHG_RS03565	909	302	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	60112	61401	+							SFHG_RS03570	1290		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	60112	61401	+	WP_042433877.1	WP_042433877.1		S41 family peptidase			SFHG_RS03570	1290	429	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	61402	63423	+					rnr		SFHG_RS03575	2022		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	61402	63423	+	WP_042433880.1	WP_042433880.1		ribonuclease R	rnr		SFHG_RS03575	2022	673	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	63644	64606	+							SFHG_RS03580	963		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	63644	64606	+	WP_202898078.1	WP_202898078.1		DUF561 domain-containing protein			SFHG_RS03580	963	320	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	64617	65549	+					fabD		SFHG_RS03585	933		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	64617	65549	+	WP_042433888.1	WP_042433888.1		ACP S-malonyltransferase	fabD		SFHG_RS03585	933	310	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	65553	66317	+					fabG		SFHG_RS03590	765		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	65553	66317	+	WP_042433891.1	WP_042433891.1		3-oxoacyl-[acyl-carrier-protein] reductase	fabG		SFHG_RS03590	765	254	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	66314	67594	+					fabF		SFHG_RS03595	1281		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	66314	67594	+	WP_042433893.1	WP_042433893.1		beta-ketoacyl-ACP synthase II	fabF		SFHG_RS03595	1281	426	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	67660	68109	+					fabZ		SFHG_RS03600	450		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	67660	68109	+	WP_042433896.1	WP_042433896.1		3-hydroxyacyl-ACP dehydratase FabZ	fabZ		SFHG_RS03600	450	149	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	68130	70670	+							SFHG_RS10375	2541		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	68130	70670	+	WP_081468923.1	WP_081468923.1		acetyl-CoA carboxylase carboxyltransferase subunit alpha			SFHG_RS10375	2541	846	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	70810	74256	-							SFHG_RS03610	3447		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	70810	74256	-	WP_042433899.1	WP_042433899.1		DEAD/DEAH box helicase			SFHG_RS03610	3447	1148	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	74630	75721	+							SFHG_RS03615	1092		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	74630	75721	+	WP_042433902.1	WP_042433902.1		carcinine hydrolase/isopenicillin-N N-acyltransferase family protein			SFHG_RS03615	1092	363	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	75878	76465	-							SFHG_RS03620	588		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	75878	76465	-	WP_042433905.1	WP_042433905.1		NUDIX hydrolase			SFHG_RS03620	588	195	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	76591	76959	-							SFHG_RS03625	369		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	76591	76959	-	WP_042433907.1	WP_042433907.1		NifB/NifX family molybdenum-iron cluster-binding protein			SFHG_RS03625	369	122	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	77098	77610	+							SFHG_RS03630	513		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	77098	77610	+	WP_238318263.1	WP_238318263.1		DUF523 domain-containing protein			SFHG_RS03630	513	170	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	77804	78262	+							SFHG_RS03635	459		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	77804	78262	+	WP_042433911.1	WP_042433911.1		YhcH/YjgK/YiaL family protein			SFHG_RS03635	459	152	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	78288	79415	+							SFHG_RS03640	1128		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	78288	79415	+	WP_042433913.1	WP_042433913.1		M42 family metallopeptidase			SFHG_RS03640	1128	375	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	79420	79887	+					smpB		SFHG_RS03645	468		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	79420	79887	+	WP_042433916.1	WP_042433916.1		SsrA-binding protein SmpB	smpB		SFHG_RS03645	468	155	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	79884	80300	+							SFHG_RS03650	417		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	79884	80300	+	WP_052297793.1	WP_052297793.1		hypothetical protein			SFHG_RS03650	417	138	
gene	tmRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	80388	80757	+					ssrA		SFHG_RS10380	370		
tmRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	80388	80757	+				transfer-messenger RNA	ssrA		SFHG_RS10380	370		
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	80862	81044	-							SFHG_RS03655	183		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	80862	81044	-	WP_042433919.1	WP_042433919.1		hypothetical protein			SFHG_RS03655	183	60	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	81365	82999	+							SFHG_RS03660	1635		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	81365	82999	+	WP_202898080.1	WP_202898080.1		L,D-transpeptidase family protein			SFHG_RS03660	1635	544	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	83081	83566	-							SFHG_RS03665	486		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	83081	83566	-	WP_042433921.1	WP_042433921.1		aminoacyl-tRNA deacylase			SFHG_RS03665	486	161	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	83680	84549	+					murI		SFHG_RS03670	870		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	83680	84549	+	WP_042433925.1	WP_042433925.1		glutamate racemase	murI		SFHG_RS03670	870	289	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	84580	85182	+					rdgB		SFHG_RS03675	603		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	84580	85182	+	WP_042433928.1	WP_042433928.1		RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB		SFHG_RS03675	603	200	
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	85217	85293	+							SFHG_RS03680	77		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	85217	85293	+				tRNA-Pro			SFHG_RS03680	77		anticodon=TGG
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	85297	85370	+							SFHG_RS03685	74		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	85297	85370	+				tRNA-Gly			SFHG_RS03685	74		anticodon=TCC
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	85970	86045	-							SFHG_RS03690	76		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	85970	86045	-				tRNA-Arg			SFHG_RS03690	76		anticodon=TCT
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	86738	87955	+					arcA		SFHG_RS03695	1218		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	86738	87955	+	WP_042433930.1	WP_042433930.1		arginine deiminase	arcA		SFHG_RS03695	1218	405	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	88141	89136	+					argF		SFHG_RS03700	996		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	88141	89136	+	WP_042433932.1	WP_042433932.1		ornithine carbamoyltransferase	argF		SFHG_RS03700	996	331	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	90418	92130	+					argS		SFHG_RS03705	1713		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	90418	92130	+	WP_042433936.1	WP_042433936.1		arginine--tRNA ligase	argS		SFHG_RS03705	1713	570	
gene	protein_coding	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	92305	94362	-							SFHG_RS03710	2058		
CDS	with_protein	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	92305	94362	-	WP_042433939.1	WP_042433939.1		sodium:proton antiporter			SFHG_RS03710	2058	685	
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	95126	95202	+							SFHG_RS03715	77		
tRNA		GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	95126	95202	+				tRNA-His			SFHG_RS03715	77		anticodon=GTG
gene	tRNA	GCF_000236865.1	Primary Assembly	unplaced scaffold		NZ_HE611015.1	95235	95310	+							SFHG_RS03720	76		
