# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	9101	9985	-							E5982_RS00050	885		old_locus_tag=E5982_00050
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	9101	9985	-	WP_136845035.1	WP_136845035.1		ABC transporter ATP-binding protein			E5982_RS00050	885	294	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10020	10391	-							E5982_RS00055	372		old_locus_tag=E5982_00055
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10020	10391	-	WP_136845036.1	WP_136845036.1		GntR family transcriptional regulator			E5982_RS00055	372	123	
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10651	10727	+							E5982_RS00060	77		old_locus_tag=E5982_00060
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10651	10727	+				tRNA-His			E5982_RS00060	77		anticodon=GTG
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10805	10880	+							E5982_RS00065	76		old_locus_tag=E5982_00065
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10805	10880	+				tRNA-Lys			E5982_RS00065	76		anticodon=CTT
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10987	12033	+					trpS		E5982_RS00070	1047		old_locus_tag=E5982_00070
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	10987	12033	+	WP_123186225.1	WP_123186225.1		tryptophan--tRNA ligase	trpS		E5982_RS00070	1047	348	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	12316	12819	+							E5982_RS00075	504		old_locus_tag=E5982_00075
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	12316	12819	+	WP_123186224.1	WP_123186224.1		hypothetical protein			E5982_RS00075	504	167	
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	12918	12992	+							E5982_RS00080	75		old_locus_tag=E5982_00080
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	12918	12992	+				tRNA-Ile			E5982_RS00080	75		anticodon=CAT
gene	tRNA	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	13067	13141	+							E5982_RS00085	75		old_locus_tag=E5982_00085
tRNA		GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	13067	13141	+				tRNA-Val			E5982_RS00085	75		anticodon=CAC
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	13389	13871	+							E5982_RS00090	483		old_locus_tag=E5982_00090
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	13389	13871	+	WP_123186223.1	WP_123186223.1		ribosome maturation factor RimP			E5982_RS00090	483	160	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	13873	15075	+					nusA		E5982_RS00095	1203		old_locus_tag=E5982_00095
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	13873	15075	+	WP_136845037.1	WP_136845037.1		transcription termination factor NusA	nusA		E5982_RS00095	1203	400	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	15085	15390	+							E5982_RS00100	306		old_locus_tag=E5982_00100
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	15085	15390	+	WP_136845038.1	WP_136845038.1		YlxR family protein			E5982_RS00100	306	101	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	15394	18153	+					infB		E5982_RS00105	2760		old_locus_tag=E5982_00105
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	15394	18153	+	WP_136845039.1	WP_136845039.1		translation initiation factor IF-2	infB		E5982_RS00105	2760	919	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	18251	18634	+					rbfA		E5982_RS00110	384		old_locus_tag=E5982_00110
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	18251	18634	+	WP_123186219.1	WP_123186219.1		30S ribosome-binding factor RbfA	rbfA		E5982_RS00110	384	127	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	18639	19622	+							E5982_RS00115	984		old_locus_tag=E5982_00115
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	18639	19622	+	WP_136845040.1	WP_136845040.1		bifunctional oligoribonuclease/PAP phosphatase NrnA			E5982_RS00115	984	327	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	19632	20633	+					truB		E5982_RS00120	1002		old_locus_tag=E5982_00120
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	19632	20633	+	WP_235870076.1	WP_235870076.1		tRNA pseudouridine(55) synthase TruB	truB		E5982_RS00120	1002	333	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	20620	21558	+					ribF		E5982_RS00125	939		old_locus_tag=E5982_00125
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	20620	21558	+	WP_235870077.1	WP_235870077.1		riboflavin biosynthesis protein RibF	ribF		E5982_RS00125	939	312	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	21735	22352	+							E5982_RS00130	618		old_locus_tag=E5982_00130
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	21735	22352	+	WP_136845042.1	WP_136845042.1		sortase			E5982_RS00130	618	205	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	22437	23594	+							E5982_RS00135	1158		old_locus_tag=E5982_00135
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	22437	23594	+	WP_136845043.1	WP_136845043.1		NADP-dependent malic enzyme			E5982_RS00135	1158	385	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	23799	25919	+							E5982_RS00140	2121		old_locus_tag=E5982_00140
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	23799	25919	+	WP_136845044.1	WP_136845044.1		sodium-translocating pyrophosphatase			E5982_RS00140	2121	706	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	26135	26398	+					tatA		E5982_RS00145	264		old_locus_tag=E5982_00145
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	26135	26398	+	WP_136845045.1	WP_136845045.1		twin-arginine translocase TatA/TatE family subunit	tatA		E5982_RS00145	264	87	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	26521	27999	+							E5982_RS00150	1479		old_locus_tag=E5982_00150
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	26521	27999	+	WP_136845046.1	WP_136845046.1		helix-turn-helix transcriptional regulator			E5982_RS00150	1479	492	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	28009	28491	+					rnhA		E5982_RS00155	483		old_locus_tag=E5982_00155
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	28009	28491	+	WP_136845048.1	WP_136845048.1		ribonuclease HI	rnhA		E5982_RS00155	483	160	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	28488	29717	-							E5982_RS00160	1230		old_locus_tag=E5982_00160
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	28488	29717	-	WP_123186210.1	WP_123186210.1		HD domain-containing protein			E5982_RS00160	1230	409	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	29879	30577	+							E5982_RS00165	699		old_locus_tag=E5982_00165
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	29879	30577	+	WP_123186209.1	WP_123186209.1		hypothetical protein			E5982_RS00165	699	232	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	30574	30768	+							E5982_RS00170	195		old_locus_tag=E5982_00170
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	30574	30768	+	WP_123186208.1	WP_123186208.1		hypothetical protein			E5982_RS00170	195	64	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	30777	32708	+					dnaG		E5982_RS00175	1932		old_locus_tag=E5982_00175
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	30777	32708	+	WP_123186207.1	WP_123186207.1		DNA primase	dnaG		E5982_RS00175	1932	643	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	32891	33439	+					def		E5982_RS00180	549		old_locus_tag=E5982_00180
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	32891	33439	+	WP_123186206.1	WP_123186206.1		peptide deformylase	def		E5982_RS00180	549	182	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	33445	34401	+							E5982_RS00185	957		old_locus_tag=E5982_00185
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	33445	34401	+	WP_123186205.1	WP_123186205.1		methionyl-tRNA formyltransferase			E5982_RS00185	957	318	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	34403	36307	+							E5982_RS00190	1905		old_locus_tag=E5982_00190
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	34403	36307	+	WP_136845049.1	WP_136845049.1		antitermination protein NusB			E5982_RS00190	1905	634	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	36440	37024	+							E5982_RS00195	585		old_locus_tag=E5982_00195
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	36440	37024	+	WP_123184448.1	WP_123184448.1		XRE family transcriptional regulator			E5982_RS00195	585	194	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	37133	38887	+							E5982_RS00200	1755		old_locus_tag=E5982_00200
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	37133	38887	+	WP_136845050.1	WP_136845050.1		AMP-binding protein			E5982_RS00200	1755	584	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	38880	39602	+							E5982_RS00205	723		old_locus_tag=E5982_00205
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	38880	39602	+	WP_123184450.1	WP_123184450.1		ParA family protein			E5982_RS00205	723	240	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	39646	39852	+							E5982_RS00210	207		old_locus_tag=E5982_00210
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	39646	39852	+	WP_123184451.1	WP_123184451.1		4Fe-4S binding protein			E5982_RS00210	207	68	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	39857	40933	+							E5982_RS00215	1077		old_locus_tag=E5982_00215
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	39857	40933	+	WP_123184452.1	WP_123184452.1		3-methyl-2-oxobutanoate dehydrogenase subunit VorB			E5982_RS00215	1077	358	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	40936	41766	+							E5982_RS00220	831		old_locus_tag=E5982_00220
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	40936	41766	+	WP_123184453.1	WP_123184453.1		thiamine pyrophosphate-dependent enzyme			E5982_RS00220	831	276	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	41768	42304	+							E5982_RS00225	537		old_locus_tag=E5982_00225
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	41768	42304	+	WP_123184454.1	WP_123184454.1		2-oxoacid:acceptor oxidoreductase family protein			E5982_RS00225	537	178	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	42306	42857	+							E5982_RS00230	552		old_locus_tag=E5982_00230
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	42306	42857	+	WP_123184455.1	WP_123184455.1		cupin domain-containing protein			E5982_RS00230	552	183	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	43095	44768	+							E5982_RS00235	1674		old_locus_tag=E5982_00235
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	43095	44768	+	WP_136845052.1	WP_136845052.1		AMP-binding protein			E5982_RS00235	1674	557	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	45091	46005	+							E5982_RS00240	915		old_locus_tag=E5982_00240
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	45091	46005	+	WP_235870078.1	WP_235870078.1		DMT family transporter			E5982_RS00240	915	304	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	46271	46780	+							E5982_RS09755	510		
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	46271	46780	+	WP_235870112.1	WP_235870112.1		hypothetical protein			E5982_RS09755	510	169	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	46765	47079	+							E5982_RS09760	315		
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	46765	47079	+	WP_235870079.1	WP_235870079.1		sodium-independent anion transporter			E5982_RS09760	315	104	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	47213	48274	+							E5982_RS00250	1062		old_locus_tag=E5982_00250
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	47213	48274	+	WP_136845054.1	WP_136845054.1		nucleoid-associated protein			E5982_RS00250	1062	353	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	48281	49432	-							E5982_RS00255	1152		old_locus_tag=E5982_00255
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	48281	49432	-	WP_214646977.1	WP_214646977.1		MFS transporter			E5982_RS00255	1152	383	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	49820	50863	-							E5982_RS00260	1044		old_locus_tag=E5982_00260
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	49820	50863	-	WP_136845055.1	WP_136845055.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			E5982_RS00260	1044	347	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	51431	52021	+					pyrR		E5982_RS00265	591		old_locus_tag=E5982_00265
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	51431	52021	+	WP_123184462.1	WP_123184462.1		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	pyrR		E5982_RS00265	591	196	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	52025	52969	+							E5982_RS00270	945		old_locus_tag=E5982_00270
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	52025	52969	+	WP_123184810.1	WP_123184810.1		aspartate carbamoyltransferase catalytic subunit			E5982_RS00270	945	314	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	52953	54245	+							E5982_RS00275	1293		old_locus_tag=E5982_00275
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	52953	54245	+	WP_136845056.1	WP_136845056.1		dihydroorotase			E5982_RS00275	1293	430	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	54431	55804	+					carA		E5982_RS00280	1374		old_locus_tag=E5982_00280
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	54431	55804	+	WP_136845058.1	WP_136845058.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		E5982_RS00280	1374	457	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	55804	59034	+					carB		E5982_RS00285	3231		old_locus_tag=E5982_00285
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	55804	59034	+	WP_136845060.1	WP_136845060.1		carbamoyl-phosphate synthase large subunit	carB		E5982_RS00285	3231	1076	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	59110	59901	+							E5982_RS00290	792		old_locus_tag=E5982_00290
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	59110	59901	+	WP_136845061.1	WP_136845061.1		dihydroorotate dehydrogenase electron transfer subunit			E5982_RS00290	792	263	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	59901	60833	+							E5982_RS00295	933		old_locus_tag=E5982_00295
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	59901	60833	+	WP_136845062.1	WP_136845062.1		dihydroorotate dehydrogenase			E5982_RS00295	933	310	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	60827	61567	+					pyrF		E5982_RS00300	741		old_locus_tag=E5982_00300
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	60827	61567	+	WP_136845064.1	WP_136845064.1		orotidine-5'-phosphate decarboxylase	pyrF		E5982_RS00300	741	246	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	61816	62124	+							E5982_RS00305	309		old_locus_tag=E5982_00305
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	61816	62124	+	WP_136845066.1	WP_136845066.1		integration host factor			E5982_RS00305	309	102	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	62132	62707	+					gmk		E5982_RS00310	576		old_locus_tag=E5982_00310
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	62132	62707	+	WP_136845068.1	WP_136845068.1		guanylate kinase	gmk		E5982_RS00310	576	191	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	62711	62971	+							E5982_RS00315	261		old_locus_tag=E5982_00315
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	62711	62971	+	WP_123184471.1	WP_123184471.1		DNA-directed RNA polymerase subunit omega			E5982_RS00315	261	86	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	62974	64185	+					thiI		E5982_RS00320	1212		old_locus_tag=E5982_00320
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	62974	64185	+	WP_123184472.1	WP_123184472.1		tRNA 4-thiouridine(8) synthase ThiI	thiI		E5982_RS00320	1212	403	
gene	pseudogene	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	64774	64878	+							E5982_RS09765	105		partial;pseudo
CDS	without_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	64774	64878	+				SLBB domain-containing protein			E5982_RS09765	105		partial;pseudo
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	64936	65220	+							E5982_RS09770	285		
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	64936	65220	+	WP_235869364.1	WP_235869364.1		ComEA family DNA-binding protein			E5982_RS09770	285	94	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	65207	67537	+							E5982_RS00330	2331		old_locus_tag=E5982_00330
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	65207	67537	+	WP_136845069.1	WP_136845069.1		DNA internalization-related competence protein ComEC/Rec2			E5982_RS00330	2331	776	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	67583	68554	+					holA		E5982_RS00335	972		old_locus_tag=E5982_00335
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	67583	68554	+	WP_235870080.1	WP_235870080.1		DNA polymerase III subunit delta	holA		E5982_RS00335	972	323	
gene	pseudogene	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	69109	69366	-					rpsT		E5982_RS09775	258		partial;pseudo
CDS	without_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	69109	69366	-				30S ribosomal protein S20	rpsT		E5982_RS09775	258		partial;pseudo
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	69596	69805	-							E5982_RS09700	210		
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	69596	69805	-	WP_211236139.1	WP_211236139.1		hypothetical protein			E5982_RS09700	210	69	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	69783	70223	+							E5982_RS00345	441		old_locus_tag=E5982_00345
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	69783	70223	+	WP_136845074.1	WP_136845074.1		hypothetical protein			E5982_RS00345	441	146	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	70250	72052	+					lepA		E5982_RS00350	1803		old_locus_tag=E5982_00350
CDS	with_protein	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	70250	72052	+	WP_136845076.1	WP_136845076.1		translation elongation factor 4	lepA		E5982_RS00350	1803	600	
gene	protein_coding	GCF_005046025.1	Primary Assembly	unplaced scaffold		NZ_SSTM01000001.1	72254	73261	+					dusB		E5982_RS00355	1008		old_locus_tag=E5982_00355
