HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N0.HOG0000038	OG0000017	n7	WP_117786325.1			WP_042433005.1, WP_042436936.1	WP_129424596.1, WP_129423808.1
N0.HOG0000039	OG0000018	n0		WP_006723532.1		WP_042435911.1, WP_042434463.1, WP_042435759.1, WP_042434469.1, WP_052297829.1	WP_129423969.1, WP_129425220.1, WP_129424797.1, WP_129423830.1, WP_129424428.1, WP_129424224.1
N0.HOG0000040	OG0000019	n0	WP_124786309.1, WP_206428112.1, WP_124786510.1, WP_124786369.1, WP_117773337.1, WP_117563518.1, WP_124785746.1, WP_164473266.1, WP_241154632.1		WP_102337878.1, WP_102337899.1		
N0.HOG0000041	OG0000020	n1	WP_117840011.1	WP_152063689.1	WP_102337790.1	WP_042434755.1	WP_129424174.1
N0.HOG0000042	OG0000020	n5	WP_124785761.1	WP_152062836.1	WP_102338001.1	WP_042432008.1	WP_129425896.1, WP_129423771.1
N0.HOG0000043	OG0000021	n0				WP_052297753.1, WP_042433000.1	WP_161566596.1, WP_201738610.1, WP_129424458.1, WP_129425672.1, WP_129423151.1, WP_129425255.1, WP_129422849.1, WP_129422979.1, WP_129425852.1
N0.HOG0000044	OG0000022	n0	WP_117647594.1, WP_118335365.1, WP_118335363.1, WP_089572215.1	WP_152062854.1, WP_226803184.1	WP_102338397.1, WP_102337694.1	WP_202898145.1	WP_201738726.1
N0.HOG0000045	OG0000023	n1	WP_117756883.1	WP_152063590.1	WP_102338351.1	WP_238318300.1	WP_129425192.1
N0.HOG0000046	OG0000023	n5	WP_199569324.1, WP_124786351.1		WP_199824849.1, WP_102337337.1		WP_129423433.1
N0.HOG0000047	OG0000024	n1	WP_124786433.1			WP_042433056.1	
N0.HOG0000048	OG0000024	n2	WP_117840579.1			WP_042436862.1	WP_129424725.1, WP_236648234.1, WP_129424510.1, WP_161566661.1, WP_161566638.1, WP_129423872.1
N0.HOG0000049	OG0000025	n1		WP_226803228.1		WP_202898146.1, WP_052297757.1	WP_129424670.1
N0.HOG0000050	OG0000025	n4	WP_124785719.1	WP_226803165.1	WP_234346262.1	WP_081469046.1, WP_042433182.1	WP_117655969.1
N0.HOG0000051	OG0000026	n1	WP_124785981.1	WP_152062855.1	WP_102338435.1	WP_238318299.1	WP_129423366.1
N0.HOG0000052	OG0000026	n5	WP_124785892.1	WP_152063613.1	WP_102338182.1	WP_042434823.1	WP_129424115.1
N0.HOG0000053	OG0000027	n1		WP_152062691.1, WP_152063436.1			WP_129424584.1
N0.HOG0000054	OG0000027	n3	WP_241154650.1, WP_233504193.1, WP_124786094.1, WP_164473292.1	WP_152063844.1		WP_081468876.1	WP_161566617.1
N0.HOG0000055	OG0000028	n1	WP_124786583.1	WP_152063529.1	WP_102338291.1	WP_187364748.1	WP_129422829.1
N0.HOG0000056	OG0000028	n5	WP_124786325.1	WP_006722396.1	WP_102337624.1	WP_042433329.1	WP_129423057.1
N0.HOG0000057	OG0000029	n1	WP_195363938.1	WP_182281919.1	WP_199824820.1		WP_129424861.1, WP_129425309.1
N0.HOG0000058	OG0000029	n5	WP_241154610.1	WP_152062726.1	WP_234346370.1	WP_081468868.1	WP_129423391.1
N0.HOG0000059	OG0000030	n1			WP_102338083.1	WP_042436298.1	WP_129425729.1
N0.HOG0000060	OG0000030	n3	WP_006235830.1	WP_152063093.1, WP_006723465.1	WP_102338111.1	WP_042432256.1	WP_129423493.1
N0.HOG0000061	OG0000031	n1	WP_117803367.1, WP_055252173.1	WP_226803248.1	WP_199824862.1		WP_129423204.1
N0.HOG0000062	OG0000031	n5	WP_117637295.1	WP_152063352.1		WP_042434991.1	WP_129423993.1
N0.HOG0000063	OG0000032	n0	WP_124785993.1, WP_124786612.1, WP_124786436.1, WP_117645711.1	WP_182282158.1	WP_102337994.1, WP_102337749.1	WP_042433891.1	WP_129422992.1
N0.HOG0000064	OG0000033	n1	WP_117647433.1			WP_081469013.1	WP_129424843.1
N0.HOG0000065	OG0000033	n3	WP_206428103.1	WP_152063556.1, WP_193221203.1	WP_234346367.1	WP_202898091.1	WP_201738574.1
N0.HOG0000066	OG0000034	n0	WP_117716559.1, WP_124786719.1	WP_152063312.1	WP_102338196.1, WP_102337336.1, WP_102337642.1, WP_102338533.1	WP_042434285.1	WP_129422842.1
N0.HOG0000067	OG0000035	n0	WP_117774421.1	WP_006722378.1	WP_102338197.1, WP_102338195.1, WP_102337641.1	WP_042433930.1, WP_042432045.1	WP_129422975.1, WP_129423741.1
N0.HOG0000068	OG0000036	n0	WP_164473277.1, WP_124786512.1, WP_124785884.1, WP_117839924.1, WP_124786542.1, WP_118334273.1, WP_124786739.1	WP_152063572.1, WP_152063597.1			
N0.HOG0000069	OG0000037	n0	WP_124785978.1, WP_124786532.1, WP_124785736.1, WP_164473267.1, WP_192934536.1, WP_124786551.1, WP_197032106.1, WP_124786541.1	WP_152063595.1			
N0.HOG0000070	OG0000038	n0	WP_124786179.1			WP_081468861.1, WP_202898034.1, WP_042435618.1	WP_129423617.1, WP_129424279.1, WP_201738635.1, WP_161566669.1, WP_118351045.1
N0.HOG0000071	OG0000039	n0	WP_124786311.1, WP_124786497.1	WP_226803257.1, WP_226803284.1, WP_226803258.1	WP_102338463.1, WP_159060034.1, WP_234346347.1	WP_042436286.1	
N0.HOG0000072	OG0000040	n0	WP_164473328.1, WP_124786519.1		WP_102338185.1, WP_102338191.1	WP_042436486.1, WP_042434287.1, WP_148514770.1	WP_129422841.1, WP_129423743.1
N0.HOG0000073	OG0000041	n0	WP_158558606.1, WP_124786636.1, WP_124786634.1	WP_152063554.1, WP_152063393.1, WP_152063492.1	WP_102338147.1	WP_042432724.1	WP_129423260.1
N0.HOG0000074	OG0000042	n1			WP_102338301.1	WP_238318301.1	WP_129425238.1
N0.HOG0000075	OG0000042	n3	WP_158548925.1	WP_152062901.1		WP_148514760.1	WP_129423135.1, WP_129425236.1, WP_161566615.1
N0.HOG0000076	OG0000043	n1	WP_158558637.1	WP_039910414.1	WP_102338044.1	WP_042432478.1	WP_201738643.1
N0.HOG0000077	OG0000043	n5	WP_241154599.1	WP_226803355.1		WP_238318264.1	WP_129422944.1
N0.HOG0000078	OG0000044	n1		WP_152062957.1	WP_102337294.1	WP_042432446.1	WP_129423400.1
N0.HOG0000079	OG0000044	n4			WP_102338327.1, WP_102337583.1, WP_102338316.1, WP_234346279.1		WP_129425668.1
N0.HOG0000080	OG0000045	n0	WP_124785789.1, WP_006235156.1	WP_152063517.1, WP_006723319.1	WP_102338202.1, WP_102338615.1	WP_042432415.1	WP_129423646.1
N0.HOG0000081	OG0000046	n0	WP_241154625.1, WP_006235157.1	WP_152063516.1, WP_152063542.1	WP_234346298.1, WP_102338273.1	WP_042432412.1	WP_129423644.1
N0.HOG0000082	OG0000047	n0	WP_117564161.1, WP_117800336.1, WP_158558612.1, WP_117862215.1, WP_055251192.1, WP_233543592.1	WP_226803325.1	WP_102337932.1		
N0.HOG0000083	OG0000048	n1	WP_089571587.1	WP_152063295.1	WP_199824861.1		WP_161566586.1
N0.HOG0000084	OG0000048	n4	WP_124786073.1	WP_006722295.1		WP_042434989.1	WP_129423995.1
N0.HOG0000085	OG0000049	n0	WP_117772918.1, WP_089572404.1, WP_117746781.1, WP_089572478.1, WP_117647588.1	WP_006723253.1, WP_152063568.1	WP_102337942.1		
N0.HOG0000086	OG0000050	n0	WP_124786035.1, WP_124786006.1, WP_089572633.1	WP_152062760.1	WP_102338054.1	WP_042436574.1	WP_129425588.1, WP_129425556.1
N0.HOG0000087	OG0000051	n1	WP_089573604.1	WP_226803173.1	WP_102337232.1	WP_202898133.1	WP_201738841.1
N0.HOG0000088	OG0000051	n5		WP_152063752.1		WP_081468991.1	WP_129425401.1
N0.HOG0000089	OG0000052	n0	WP_117634305.1	WP_039910689.1	WP_102337982.1	WP_042434877.1, WP_052297894.1, WP_202898112.1	WP_129424072.1, WP_129424100.1
N0.HOG0000090	OG0000053	n1	WP_117803937.1		WP_102338329.1	WP_081468936.1	WP_236648217.1
N0.HOG0000091	OG0000053	n4	WP_117840391.1, WP_124786450.1		WP_159060046.1	WP_042436478.1	
N0.HOG0000092	OG0000054	n0	WP_124785727.1		WP_102337966.1, WP_159060021.1, WP_102338260.1, WP_159060055.1, WP_159060075.1	WP_042432110.1	WP_129423403.1
N0.HOG0000093	OG0000055	n0	WP_124785857.1	WP_226803318.1, WP_226803255.1, WP_152063346.1, WP_226803359.1	WP_159060078.1	WP_042434966.1	WP_129424001.1
N0.HOG0000094	OG0000056	n1	WP_124785863.1	WP_152063798.1		WP_042435033.1	WP_129423951.1
N0.HOG0000095	OG0000056	n4	WP_241154627.1	WP_152063799.1		WP_052297822.1	WP_161566609.1
N0.HOG0000096	OG0000057	n0	WP_124785865.1	WP_193221204.1	WP_234346226.1	WP_042432335.1, WP_042435861.1	WP_129423557.1, WP_129423874.1, WP_129425111.1
N0.HOG0000097	OG0000058	n0	WP_124785889.1, WP_124786521.1, WP_124786522.1	WP_152063747.1	WP_102337964.1, WP_102337762.1, WP_102338190.1, WP_102338187.1		
N0.HOG0000098	OG0000059	n0	WP_124786526.1, WP_124785984.1	WP_152063574.1, WP_226803351.1, WP_152063578.1	WP_234346365.1	WP_162096578.1	WP_236648337.1
N0.HOG0000099	OG0000060	n0	WP_124786004.1, WP_158565399.1	WP_152062872.1, WP_152062874.1	WP_234346328.1, WP_159060033.1	WP_081469072.1	WP_129423918.1
N0.HOG0000100	OG0000061	n0	WP_124786119.1	WP_152063204.1, WP_152063021.1, WP_152063215.1	WP_234346136.1	WP_042436060.1, WP_042435450.1	WP_129425876.1
N0.HOG0000101	OG0000062	n1	WP_124786185.1		WP_102337362.1		
N0.HOG0000102	OG0000062	n3		WP_152063223.1		WP_042434075.1	WP_161566570.1
N0.HOG0000103	OG0000062	n5		WP_152063220.1, WP_152063222.1			WP_129425431.1
N0.HOG0000104	OG0000063	n1	WP_124786345.1	WP_226803192.1	WP_102337654.1	WP_052297766.1	WP_129423266.1
N0.HOG0000105	OG0000063	n5		WP_152063275.1		WP_042436959.1	WP_129423791.1
N0.HOG0000106	OG0000064	n1		WP_152063587.1	WP_102337905.1		
N0.HOG0000107	OG0000064	n3	WP_206428088.1			WP_042432040.1	WP_129424508.1
N0.HOG0000108	OG0000064	n5	WP_124786420.1			WP_042435806.1	WP_129424769.1
N0.HOG0000109	OG0000065	n0	WP_124786438.1	WP_118272173.1	WP_102338092.1	WP_238318321.1	WP_129423281.1, WP_129425135.1, WP_129425520.1, WP_129425092.1
N0.HOG0000110	OG0000066	n1			WP_102338179.1	WP_042436791.1	WP_129425516.1
N0.HOG0000111	OG0000066	n3	WP_124786492.1	WP_226803206.1	WP_102338409.1	WP_042434429.1	WP_129424478.1
N0.HOG0000112	OG0000067	n0	WP_124786599.1	WP_152062785.1	WP_102338257.1	WP_081468843.1	WP_129424986.1, WP_129424964.1, WP_201738741.1, WP_201738671.1
N0.HOG0000113	OG0000068	n0	WP_197032151.1	WP_152062801.1		WP_042432827.1, WP_042434725.1, WP_042433173.1	WP_201738623.1, WP_129423074.1, WP_201738603.1
N0.HOG0000114	OG0000069	n0	WP_206428115.1	WP_226803186.1	WP_234346193.1	WP_042434631.1, WP_081468997.1	WP_129425159.1, WP_129424632.1, WP_269089561.1
N0.HOG0000115	OG0000070	n0		WP_152062864.1	WP_102338323.1	WP_042435849.1, WP_042436453.1, WP_042434022.1, WP_042432358.1, WP_042434388.1	WP_129424502.1
N0.HOG0000116	OG0000071	n0				WP_042432592.1, WP_042432384.1, WP_052297848.1	WP_129423332.1, WP_129424281.1, WP_129423619.1, WP_201738641.1, WP_129425206.1
N0.HOG0000117	OG0000072	n0				WP_148514780.1, WP_162096580.1, WP_052297758.1	WP_161566698.1, WP_201738728.1, WP_129423380.1, WP_161566705.1, WP_129425251.1
N0.HOG0000118	OG0000073	n0	WP_117773008.1, WP_006234250.1	WP_006722296.1, WP_152063294.1	WP_102338380.1	WP_042434986.1	WP_236648265.1
N0.HOG0000119	OG0000074	n0	WP_117839926.1, WP_124786637.1, WP_006235309.1	WP_152063802.1	WP_102338307.1	WP_042433868.1	WP_201738817.1
N0.HOG0000120	OG0000075	n0	WP_006236100.1	WP_006722708.1	WP_102337422.1	WP_042436406.1, WP_042436419.1, WP_042433967.1	WP_161566572.1
N0.HOG0000121	OG0000076	n0	WP_022094220.1, WP_117774312.1, WP_124786031.1, WP_117774287.1	WP_226803314.1		WP_042436029.1	WP_161566648.1
N0.HOG0000122	OG0000077	n0	WP_022094861.1, WP_241154594.1, WP_035136916.1	WP_152063681.1	WP_102337339.1, WP_102338395.1		WP_129425226.1
N0.HOG0000123	OG0000078	n0	WP_022094895.1	WP_006723121.1	WP_199824830.1	WP_042434316.1, WP_042434766.1	WP_129422827.1, WP_161566616.1
N0.HOG0000124	OG0000079	n1	WP_124786366.1			WP_162096553.1	
N0.HOG0000125	OG0000079	n2	WP_055250011.1	WP_193221165.1	WP_102337478.1	WP_042434487.1	WP_129424404.1
N0.HOG0000126	OG0000080	n0	WP_055252669.1, WP_089573098.1	WP_118272283.1	WP_199824855.1	WP_042434821.1	WP_129423953.1, WP_129424117.1
N0.HOG0000127	OG0000081	n0	WP_117629024.1, WP_124786575.1, WP_089572475.1	WP_193221146.1	WP_102337827.1, WP_102337662.1, WP_102338238.1		
N0.HOG0000128	OG0000082	n0	WP_089573612.1	WP_006723629.1	WP_102337735.1	WP_042432935.1	WP_129425341.1, WP_129425343.1, WP_129423179.1
N0.HOG0000129	OG0000083	n0	WP_192934535.1, WP_124786638.1, WP_117634793.1	WP_152063803.1	WP_102338306.1	WP_042433865.1	WP_129422999.1
N0.HOG0000130	OG0000084	n1	WP_117766276.1		WP_234346302.1		WP_236648306.1
N0.HOG0000131	OG0000084	n3	WP_206428087.1, WP_124785739.1			WP_238318304.1	WP_129424419.1
N0.HOG0000132	OG0000085	n0	WP_117772868.1, WP_124786543.1, WP_124786540.1, WP_124786531.1	WP_152063596.1	WP_102338386.1, WP_102338004.1		
N0.HOG0000133	OG0000086	n0	WP_117773363.1, WP_124786386.1, WP_124786415.1	WP_152062876.1, WP_226803252.1		WP_042435880.1	WP_129424829.1
N0.HOG0000134	OG0000087	n0	WP_117773369.1	WP_193221135.1	WP_102337770.1	WP_052297937.1, WP_042436814.1	WP_201738683.1, WP_236648328.1
N0.HOG0000135	OG0000088	n0	WP_117773490.1, WP_124786493.1, WP_124785938.1		WP_102337591.1, WP_199824859.1	WP_158574162.1	WP_129425204.1
N0.HOG0000136	OG0000089	n1			WP_102337497.1		WP_161566623.1
N0.HOG0000137	OG0000089	n2	WP_117774296.1	WP_152063723.1	WP_102338479.1	WP_042432670.1	WP_129423299.1
N0.HOG0000138	OG0000090	n0	WP_117776113.1	WP_118272307.1, WP_226803212.1	WP_102337709.1, WP_199824826.1	WP_042435396.1	WP_129425449.1
N0.HOG0000139	OG0000091	n0	WP_117840248.1	WP_226803363.1	WP_102337894.1	WP_042432712.1, WP_042436618.1	WP_129423269.1, WP_129425499.1
N0.HOG0000140	OG0000092	n0	WP_124785781.1	WP_152063512.1	WP_102338171.1	WP_042435847.1, WP_081469038.1, WP_042432946.1	WP_129423175.1
N0.HOG0000141	OG0000093	n0	WP_124785912.1, WP_124786228.1, WP_124786432.1	WP_193221156.1	WP_102337418.1	WP_042433094.1	WP_161566618.1
N0.HOG0000142	OG0000094	n0	WP_124786418.1, WP_124785940.1	WP_193221225.1, WP_193221211.1	WP_102337870.1	WP_081468938.1	WP_129424454.1
N0.HOG0000143	OG0000095	n0	WP_124786099.1, WP_124785986.1, WP_124786356.1	WP_152062965.1	WP_102337656.1	WP_042435809.1	WP_129424767.1
N0.HOG0000144	OG0000096	n1	WP_124786105.1, WP_124786104.1	WP_193221153.1		WP_238318311.1	
N0.HOG0000145	OG0000096	n4	WP_124786117.1	WP_152063017.1		WP_052297880.1	
N0.HOG0000146	OG0000097	n0	WP_124786120.1	WP_226803224.1, WP_152063022.1	WP_102337368.1	WP_238318310.1, WP_042435452.1	WP_129425435.1
N0.HOG0000147	OG0000098	n0	WP_124786184.1, WP_124786624.1	WP_193221168.1, WP_152062700.1	WP_102338153.1	WP_042435718.1	WP_236648283.1
N0.HOG0000148	OG0000099	n0	WP_124786229.1	WP_006722714.1	WP_234346146.1	WP_042436476.1, WP_042436974.1	WP_129425776.1, WP_129423777.1
N0.HOG0000149	OG0000100	n1	WP_124786261.1, WP_124786706.1	WP_152063209.1			WP_129425417.1
N0.HOG0000150	OG0000100	n4	WP_206428123.1, WP_206428122.1				WP_201738774.1
N0.HOG0000151	OG0000101	n0	WP_124786443.1			WP_042436531.1, WP_042436529.1, WP_162096559.1, WP_052297864.1, WP_052297831.1	WP_161566697.1
N0.HOG0000152	OG0000102	n0	WP_124786473.1	WP_118271881.1	WP_102338359.1	WP_042432637.1, WP_042432184.1	WP_129423313.1, WP_129423441.1
N0.HOG0000153	OG0000103	n0	WP_241154656.1, WP_124786506.1	WP_118272368.1, WP_152063760.1	WP_102338554.1	WP_238318246.1	WP_201738617.1
N0.HOG0000154	OG0000104	n0	WP_124786639.1, WP_241154608.1	WP_152063804.1	WP_102338305.1, WP_197713856.1	WP_042432819.1	WP_129423221.1
N0.HOG0000155	OG0000105	n1	WP_232219750.1				WP_129423106.1
N0.HOG0000156	OG0000105	n2	WP_241154648.1	WP_226803280.1	WP_234346155.1	WP_042433975.1	WP_129422956.1
N0.HOG0000157	OG0000106	n0	WP_241154653.1, WP_241154576.1	WP_226803226.1		WP_238318292.1, WP_238318313.1	WP_129425441.1, WP_201738793.1
N0.HOG0000158	OG0000107	n0		WP_193221219.1, WP_152062828.1, WP_193221217.1, WP_193221218.1, WP_193221215.1, WP_193221216.1, WP_152063394.1			
N0.HOG0000159	OG0000108	n0				WP_042432594.1, WP_052297737.1	WP_129423331.1, WP_129424277.1, WP_161566575.1, WP_201738642.1, WP_201738655.1
N0.HOG0000160	OG0000109	n0				WP_042432602.1, WP_042434773.1, WP_052297791.1, WP_042435957.1	WP_129423328.1, WP_129424160.1, WP_161566621.1
N0.HOG0000161	OG0000110	n0					WP_129425628.1, WP_129425636.1, WP_129425478.1, WP_129424693.1, WP_129424259.1, WP_129425244.1, WP_129425822.1
N0.HOG0000162	OG0000111	n0	WP_006234279.1	WP_039910204.1	WP_102338198.1, WP_102337640.1	WP_042433932.1	WP_129422974.1
N0.HOG0000163	OG0000112	n0	WP_006234305.1, WP_124786335.1	WP_152063363.1	WP_102337317.1	WP_042433996.1	WP_129422948.1
N0.HOG0000164	OG0000113	n0	WP_006235166.1	WP_006723372.1	WP_102338199.1	WP_042431951.1	WP_129422973.1, WP_129423404.1
N0.HOG0000165	OG0000114	n0	WP_006235216.1	WP_226803175.1, WP_039910702.1	WP_102338018.1	WP_042432023.1	WP_129423761.1
N0.HOG0000166	OG0000115	n0	WP_006235398.1, WP_055250894.1	WP_152062934.1	WP_102337652.1	WP_042434626.1	WP_129425155.1
N0.HOG0000167	OG0000116	n0	WP_099432014.1, WP_117839942.1, WP_006235773.1		WP_102338163.1, WP_102337963.1, WP_234346324.1		
N0.HOG0000168	OG0000117	n0	WP_035136926.1	WP_006723205.1	WP_102338553.1, WP_102338633.1	WP_081468844.1	WP_129423749.1
N0.HOG0000169	OG0000118	n0	WP_055250138.1	WP_152063475.1, WP_152063152.1	WP_102337445.1	WP_202898100.1	WP_201738709.1
N0.HOG0000170	OG0000119	n0	WP_055250439.1, WP_124786214.1	WP_006722778.1, WP_152062964.1	WP_102337375.1, WP_102337657.1		
N0.HOG0000171	OG0000120	n0	WP_055251520.1, WP_164473279.1	WP_152062823.1	WP_102337250.1	WP_052297754.1	WP_129423389.1
N0.HOG0000172	OG0000121	n0	WP_099432234.1	WP_152063573.1	WP_102337973.1	WP_042435671.1	WP_129425924.1, WP_269089566.1
N0.HOG0000173	OG0000122	n0	WP_114551454.1, WP_117734324.1	WP_152063140.1, WP_152062986.1, WP_152063335.1			WP_129423230.1
N0.HOG0000174	OG0000123	n0	WP_117563706.1	WP_152063814.1	WP_102337981.1	WP_042431935.1, WP_042434874.1	WP_129424074.1
N0.HOG0000175	OG0000124	n0	WP_117563816.1	WP_118102418.1	WP_102338290.1, WP_234346315.1	WP_042437040.1	WP_129425170.1
N0.HOG0000176	OG0000125	n0	WP_117773016.1, WP_117583755.1	WP_193221144.1, WP_182282004.1		WP_042435024.1	WP_236648264.1
