HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N2.HOG0000091	OG0000029	n5	WP_241154610.1	WP_152062726.1	WP_234346370.1		
N2.HOG0000092	OG0000030	n1			WP_102338083.1		
N2.HOG0000093	OG0000030	n3	WP_006235830.1	WP_152063093.1, WP_006723465.1	WP_102338111.1		
N2.HOG0000094	OG0000031	n1	WP_117803367.1, WP_055252173.1	WP_226803248.1	WP_199824862.1		
N2.HOG0000095	OG0000031	n5	WP_117637295.1	WP_152063352.1			
N2.HOG0000096	OG0000032	n5	WP_124786612.1, WP_124786436.1		WP_102337994.1		
N2.HOG0000097	OG0000032	n7	WP_117645711.1		WP_102337749.1		
N2.HOG0000098	OG0000033	n1	WP_117647433.1				
N2.HOG0000099	OG0000033	n3	WP_206428103.1	WP_152063556.1, WP_193221203.1	WP_234346367.1		
N2.HOG0000100	OG0000034	n3	WP_117716559.1		WP_102338196.1		
N2.HOG0000101	OG0000034	n4	WP_124786719.1	WP_152063312.1	WP_102337336.1, WP_102337642.1, WP_102338533.1		
N2.HOG0000102	OG0000035	n0	WP_117774421.1	WP_006722378.1	WP_102338197.1, WP_102338195.1, WP_102337641.1		
N2.HOG0000103	OG0000036	n1	WP_164473277.1	WP_152063572.1			
N2.HOG0000104	OG0000036	n2	WP_124786512.1, WP_124785884.1, WP_117839924.1, WP_124786542.1, WP_118334273.1, WP_124786739.1	WP_152063597.1			
N2.HOG0000105	OG0000037	n0	WP_124785978.1, WP_124786532.1, WP_124785736.1, WP_164473267.1, WP_192934536.1, WP_124786551.1, WP_197032106.1, WP_124786541.1	WP_152063595.1			
N2.HOG0000106	OG0000038	n0	WP_124786179.1				
N2.HOG0000107	OG0000039	n2	WP_124786311.1	WP_226803257.1, WP_226803284.1	WP_102338463.1, WP_159060034.1, WP_234346347.1		
N2.HOG0000108	OG0000039	n7	WP_124786497.1	WP_226803258.1			
N2.HOG0000109	OG0000040	n2	WP_164473328.1		WP_102338185.1		
N2.HOG0000110	OG0000040	n3	WP_124786519.1		WP_102338191.1		
N2.HOG0000111	OG0000041	n3	WP_158558606.1	WP_152063554.1			
N2.HOG0000112	OG0000041	n4	WP_124786636.1, WP_124786634.1	WP_152063393.1, WP_152063492.1	WP_102338147.1		
N2.HOG0000113	OG0000042	n1			WP_102338301.1		
N2.HOG0000114	OG0000042	n3	WP_158548925.1	WP_152062901.1			
N2.HOG0000115	OG0000043	n1	WP_158558637.1	WP_039910414.1	WP_102338044.1		
N2.HOG0000116	OG0000043	n5	WP_241154599.1	WP_226803355.1			
N2.HOG0000117	OG0000044	n1		WP_152062957.1	WP_102337294.1		
N2.HOG0000118	OG0000044	n4			WP_102338327.1, WP_102337583.1, WP_102338316.1, WP_234346279.1		
N2.HOG0000119	OG0000045	n3	WP_124785789.1	WP_152063517.1	WP_102338202.1		
N2.HOG0000120	OG0000045	n5	WP_006235156.1	WP_006723319.1	WP_102338615.1		
N2.HOG0000121	OG0000046	n3	WP_241154625.1	WP_152063516.1	WP_234346298.1		
N2.HOG0000122	OG0000046	n5	WP_006235157.1	WP_152063542.1	WP_102338273.1		
N2.HOG0000123	OG0000047	n0	WP_117564161.1, WP_117800336.1, WP_158558612.1, WP_117862215.1, WP_055251192.1, WP_233543592.1	WP_226803325.1	WP_102337932.1		
N2.HOG0000124	OG0000048	n1	WP_089571587.1	WP_152063295.1	WP_199824861.1		
N2.HOG0000125	OG0000048	n4	WP_124786073.1	WP_006722295.1			
N2.HOG0000126	OG0000049	n1	WP_117772918.1, WP_089572404.1	WP_006723253.1	WP_102337942.1		
N2.HOG0000127	OG0000049	n4	WP_117746781.1, WP_089572478.1, WP_117647588.1	WP_152063568.1			
N2.HOG0000128	OG0000050	n0	WP_124786035.1, WP_124786006.1, WP_089572633.1	WP_152062760.1	WP_102338054.1		
N2.HOG0000129	OG0000051	n1	WP_089573604.1	WP_226803173.1	WP_102337232.1		
N2.HOG0000130	OG0000051	n5		WP_152063752.1			
N2.HOG0000131	OG0000052	n0	WP_117634305.1	WP_039910689.1	WP_102337982.1		
N2.HOG0000132	OG0000053	n1	WP_117803937.1		WP_102338329.1		
N2.HOG0000133	OG0000053	n4	WP_117840391.1, WP_124786450.1		WP_159060046.1		
N2.HOG0000134	OG0000054	n0	WP_124785727.1		WP_102337966.1, WP_159060021.1, WP_102338260.1, WP_159060055.1, WP_159060075.1		
N2.HOG0000135	OG0000055	n0	WP_124785857.1	WP_226803318.1, WP_226803255.1, WP_152063346.1, WP_226803359.1	WP_159060078.1		
N2.HOG0000136	OG0000056	n1	WP_124785863.1	WP_152063798.1			
N2.HOG0000137	OG0000056	n4	WP_241154627.1	WP_152063799.1			
N2.HOG0000138	OG0000057	n0	WP_124785865.1	WP_193221204.1	WP_234346226.1		
N2.HOG0000139	OG0000058	n1	WP_124785889.1	WP_152063747.1	WP_102337964.1, WP_102337762.1		
N2.HOG0000140	OG0000058	n5	WP_124786521.1		WP_102338190.1		
N2.HOG0000141	OG0000058	n6	WP_124786522.1		WP_102338187.1		
N2.HOG0000142	OG0000059	n3	WP_124786526.1	WP_152063574.1	WP_234346365.1		
N2.HOG0000143	OG0000059	n5	WP_124785984.1	WP_226803351.1, WP_152063578.1			
N2.HOG0000144	OG0000060	n2	WP_124786004.1	WP_152062872.1	WP_234346328.1		
N2.HOG0000145	OG0000060	n4	WP_158565399.1	WP_152062874.1	WP_159060033.1		
N2.HOG0000146	OG0000061	n0	WP_124786119.1	WP_152063204.1, WP_152063021.1, WP_152063215.1	WP_234346136.1		
N2.HOG0000147	OG0000062	n1	WP_124786185.1		WP_102337362.1		
N2.HOG0000148	OG0000062	n3		WP_152063223.1			
N2.HOG0000149	OG0000062	n5		WP_152063220.1, WP_152063222.1			
N2.HOG0000150	OG0000063	n1	WP_124786345.1	WP_226803192.1	WP_102337654.1		
N2.HOG0000151	OG0000063	n5		WP_152063275.1			
N2.HOG0000152	OG0000064	n1		WP_152063587.1	WP_102337905.1		
N2.HOG0000153	OG0000064	n3	WP_206428088.1				
N2.HOG0000154	OG0000064	n5	WP_124786420.1				
N2.HOG0000155	OG0000065	n0	WP_124786438.1	WP_118272173.1	WP_102338092.1		
N2.HOG0000156	OG0000066	n1			WP_102338179.1		
N2.HOG0000157	OG0000066	n3	WP_124786492.1	WP_226803206.1	WP_102338409.1		
N2.HOG0000158	OG0000067	n0	WP_124786599.1	WP_152062785.1	WP_102338257.1		
N2.HOG0000159	OG0000068	n0	WP_197032151.1	WP_152062801.1			
N2.HOG0000160	OG0000069	n0	WP_206428115.1	WP_226803186.1	WP_234346193.1		
N2.HOG0000161	OG0000070	n0		WP_152062864.1	WP_102338323.1		
N2.HOG0000162	OG0000073	n4	WP_117773008.1	WP_006722296.1			
N2.HOG0000163	OG0000073	n5	WP_006234250.1	WP_152063294.1			
N2.HOG0000164	OG0000074	n0	WP_117839926.1, WP_124786637.1, WP_006235309.1	WP_152063802.1	WP_102338307.1		
N2.HOG0000165	OG0000075	n0	WP_006236100.1	WP_006722708.1	WP_102337422.1		
N2.HOG0000166	OG0000076	n0	WP_022094220.1, WP_117774312.1, WP_124786031.1, WP_117774287.1	WP_226803314.1			
N2.HOG0000167	OG0000077	n2	WP_022094861.1		WP_102337339.1		
N2.HOG0000168	OG0000077	n3	WP_241154594.1, WP_035136916.1	WP_152063681.1	WP_102338395.1		
N2.HOG0000169	OG0000078	n0	WP_022094895.1	WP_006723121.1	WP_199824830.1		
N2.HOG0000170	OG0000079	n1	WP_124786366.1				
N2.HOG0000171	OG0000079	n2	WP_055250011.1	WP_193221165.1	WP_102337478.1		
N2.HOG0000172	OG0000080	n0	WP_055252669.1, WP_089573098.1	WP_118272283.1	WP_199824855.1		
N2.HOG0000173	OG0000081	n1	WP_117629024.1	WP_193221146.1	WP_102337827.1		
N2.HOG0000174	OG0000081	n4	WP_124786575.1		WP_102337662.1		
N2.HOG0000175	OG0000081	n5	WP_089572475.1		WP_102338238.1		
N2.HOG0000176	OG0000082	n0	WP_089573612.1	WP_006723629.1	WP_102337735.1		
N2.HOG0000177	OG0000083	n0	WP_192934535.1, WP_124786638.1, WP_117634793.1	WP_152063803.1	WP_102338306.1		
N2.HOG0000178	OG0000084	n1	WP_117766276.1		WP_234346302.1		
N2.HOG0000179	OG0000084	n3	WP_206428087.1, WP_124785739.1				
N2.HOG0000180	OG0000085	n2	WP_117772868.1		WP_102338386.1		
N2.HOG0000181	OG0000085	n3	WP_124786543.1, WP_124786540.1, WP_124786531.1		WP_102338004.1		
N2.HOG0000182	OG0000086	n2	WP_117773363.1	WP_152062876.1			
N2.HOG0000183	OG0000086	n3	WP_124786386.1, WP_124786415.1	WP_226803252.1			
N2.HOG0000184	OG0000087	n0	WP_117773369.1	WP_193221135.1	WP_102337770.1		
N2.HOG0000185	OG0000088	n1	WP_117773490.1, WP_124786493.1		WP_102337591.1		
N2.HOG0000186	OG0000088	n5	WP_124785938.1		WP_199824859.1		
N2.HOG0000187	OG0000089	n1			WP_102337497.1		
N2.HOG0000188	OG0000089	n2	WP_117774296.1	WP_152063723.1	WP_102338479.1		
N2.HOG0000189	OG0000090	n0	WP_117776113.1	WP_118272307.1, WP_226803212.1	WP_102337709.1, WP_199824826.1		
N2.HOG0000190	OG0000091	n0	WP_117840248.1	WP_226803363.1	WP_102337894.1		
N2.HOG0000191	OG0000092	n0	WP_124785781.1	WP_152063512.1	WP_102338171.1		
N2.HOG0000192	OG0000093	n0	WP_124785912.1, WP_124786228.1, WP_124786432.1	WP_193221156.1	WP_102337418.1		
N2.HOG0000193	OG0000094	n3	WP_124786418.1	WP_193221225.1			
N2.HOG0000194	OG0000094	n4	WP_124785940.1	WP_193221211.1	WP_102337870.1		
N2.HOG0000195	OG0000095	n0	WP_124786099.1, WP_124785986.1, WP_124786356.1	WP_152062965.1	WP_102337656.1		
N2.HOG0000196	OG0000096	n1	WP_124786105.1, WP_124786104.1	WP_193221153.1			
N2.HOG0000197	OG0000096	n4	WP_124786117.1	WP_152063017.1			
N2.HOG0000198	OG0000097	n0	WP_124786120.1	WP_226803224.1, WP_152063022.1	WP_102337368.1		
N2.HOG0000199	OG0000098	n3	WP_124786184.1	WP_193221168.1			
N2.HOG0000200	OG0000098	n4	WP_124786624.1	WP_152062700.1	WP_102338153.1		
N2.HOG0000201	OG0000099	n0	WP_124786229.1	WP_006722714.1	WP_234346146.1		
N2.HOG0000202	OG0000100	n1	WP_124786261.1, WP_124786706.1	WP_152063209.1			
N2.HOG0000203	OG0000100	n4	WP_206428123.1, WP_206428122.1				
N2.HOG0000204	OG0000101	n0	WP_124786443.1				
N2.HOG0000205	OG0000102	n0	WP_124786473.1	WP_118271881.1	WP_102338359.1		
N2.HOG0000206	OG0000103	n3	WP_241154656.1	WP_118272368.1			
N2.HOG0000207	OG0000103	n4	WP_124786506.1	WP_152063760.1	WP_102338554.1		
N2.HOG0000208	OG0000104	n2	WP_124786639.1	WP_152063804.1	WP_102338305.1		
N2.HOG0000209	OG0000104	n4	WP_241154608.1		WP_197713856.1		
N2.HOG0000210	OG0000105	n1	WP_232219750.1				
N2.HOG0000211	OG0000105	n2	WP_241154648.1	WP_226803280.1	WP_234346155.1		
N2.HOG0000212	OG0000106	n0	WP_241154653.1, WP_241154576.1	WP_226803226.1			
N2.HOG0000213	OG0000107	n0		WP_193221219.1, WP_152062828.1, WP_193221217.1, WP_193221218.1, WP_193221215.1, WP_193221216.1, WP_152063394.1			
N2.HOG0000214	OG0000111	n0	WP_006234279.1	WP_039910204.1	WP_102338198.1, WP_102337640.1		
N2.HOG0000215	OG0000112	n0	WP_006234305.1, WP_124786335.1	WP_152063363.1	WP_102337317.1		
N2.HOG0000216	OG0000113	n0	WP_006235166.1	WP_006723372.1	WP_102338199.1		
N2.HOG0000217	OG0000114	n0	WP_006235216.1	WP_226803175.1, WP_039910702.1	WP_102338018.1		
N2.HOG0000218	OG0000115	n0	WP_006235398.1, WP_055250894.1	WP_152062934.1	WP_102337652.1		
N2.HOG0000219	OG0000116	n1	WP_099432014.1		WP_102338163.1		
N2.HOG0000220	OG0000116	n2	WP_117839942.1, WP_006235773.1		WP_102337963.1, WP_234346324.1		
N2.HOG0000221	OG0000117	n0	WP_035136926.1	WP_006723205.1	WP_102338553.1, WP_102338633.1		
N2.HOG0000222	OG0000118	n0	WP_055250138.1	WP_152063475.1, WP_152063152.1	WP_102337445.1		
N2.HOG0000223	OG0000119	n1	WP_055250439.1	WP_006722778.1	WP_102337375.1		
N2.HOG0000224	OG0000119	n3	WP_124786214.1	WP_152062964.1	WP_102337657.1		
N2.HOG0000225	OG0000120	n0	WP_055251520.1, WP_164473279.1	WP_152062823.1	WP_102337250.1		
N2.HOG0000226	OG0000121	n0	WP_099432234.1	WP_152063573.1	WP_102337973.1		
N2.HOG0000227	OG0000122	n2	WP_114551454.1	WP_152063140.1			
N2.HOG0000228	OG0000122	n3	WP_117734324.1	WP_152062986.1, WP_152063335.1			
N2.HOG0000229	OG0000123	n0	WP_117563706.1	WP_152063814.1	WP_102337981.1		
N2.HOG0000230	OG0000124	n0	WP_117563816.1	WP_118102418.1	WP_102338290.1, WP_234346315.1		
N2.HOG0000231	OG0000125	n0	WP_117773016.1, WP_117583755.1	WP_193221144.1, WP_182282004.1			
N2.HOG0000232	OG0000126	n0	WP_117634693.1	WP_006723455.1	WP_102338108.1		
N2.HOG0000233	OG0000127	n0	WP_117635777.1		WP_102337965.1, WP_102337967.1, WP_102338188.1		
N2.HOG0000234	OG0000128	n0	WP_117640103.1, WP_124785831.1	WP_152063671.1	WP_102338364.1		
N2.HOG0000235	OG0000129	n2	WP_124786312.1	WP_152063324.1	WP_102338462.1		
N2.HOG0000236	OG0000129	n4	WP_117640543.1		WP_159060067.1		
N2.HOG0000237	OG0000130	n0	WP_117646636.1	WP_152062738.1	WP_102338262.1		
N2.HOG0000238	OG0000131	n0	WP_117773385.1, WP_124786147.1	WP_152063264.1	WP_102337557.1		
N2.HOG0000239	OG0000132	n0	WP_117773483.1	WP_152063690.1	WP_102337788.1		
N2.HOG0000240	OG0000133	n0	WP_117773504.1	WP_152063158.1	WP_102337456.1		
N2.HOG0000241	OG0000134	n0	WP_117774253.1	WP_152062710.1	WP_102337547.1, WP_102338064.1		
N2.HOG0000242	OG0000135	n0	WP_117840105.1, WP_241154660.1, WP_241154604.1, WP_117778979.1	WP_152063602.1	WP_102337935.1		
N2.HOG0000243	OG0000136	n0	WP_117806836.1	WP_152062819.1	WP_102337705.1		
N2.HOG0000244	OG0000137	n0	WP_124786276.1, WP_117820254.1	WP_152063244.1	WP_102337526.1		
N2.HOG0000245	OG0000138	n0	WP_124786359.1, WP_117840168.1	WP_152063733.1	WP_102338449.1		
N2.HOG0000246	OG0000139	n0	WP_117840247.1	WP_152063851.1	WP_102337728.1, WP_102337895.1		
N2.HOG0000247	OG0000140	n0	WP_118226807.1	WP_152063337.1, WP_152063367.1, WP_152063660.1, WP_152063321.1	WP_102338465.1		
N2.HOG0000248	OG0000141	n1	WP_124785842.1	WP_006723721.1	WP_102337985.1		
N2.HOG0000249	OG0000141	n3	WP_118328585.1	WP_006722307.1, WP_152063392.1			
N2.HOG0000250	OG0000142	n0	WP_118334449.1	WP_152063019.1	WP_102338496.1		
N2.HOG0000251	OG0000143	n0	WP_124786293.1, WP_124786295.1, WP_124786292.1, WP_124785733.1				
N2.HOG0000252	OG0000144	n0	WP_124785763.1	WP_152062741.1	WP_102338010.1		
N2.HOG0000253	OG0000145	n0	WP_124785766.1, WP_124786467.1	WP_152063502.1	WP_102338154.1		
N2.HOG0000254	OG0000146	n0	WP_124785817.1	WP_152063555.1			
N2.HOG0000255	OG0000147	n0	WP_124785932.1				
N2.HOG0000256	OG0000148	n0	WP_124785969.1				
N2.HOG0000257	OG0000149	n0	WP_124786025.1, WP_124786008.1	WP_226803180.1, WP_152063682.1	WP_102337752.1, WP_102338243.1		
N2.HOG0000258	OG0000150	n0	WP_124786072.1	WP_152063551.1, WP_152063353.1	WP_102337310.1		
N2.HOG0000259	OG0000151	n0	WP_124786164.1	WP_118271163.1	WP_102337441.1		
N2.HOG0000260	OG0000152	n1	WP_124786640.1		WP_102338320.1, WP_102338319.1		
N2.HOG0000261	OG0000152	n3	WP_124786215.1	WP_152062963.1	WP_102337658.1		
N2.HOG0000262	OG0000153	n0	WP_124786235.1	WP_006722725.1	WP_102337358.1, WP_102337405.1		
N2.HOG0000263	OG0000154	n0	WP_124786307.1	WP_152063289.1	WP_102337602.1		
N2.HOG0000264	OG0000155	n0	WP_124786334.1	WP_152063362.1	WP_102337724.1, WP_102337319.1		
N2.HOG0000265	OG0000156	n0	WP_124786391.1	WP_152062821.1, WP_152062716.1	WP_102337245.1		
N2.HOG0000266	OG0000157	n0	WP_124786464.1	WP_152063329.1			
N2.HOG0000267	OG0000158	n0	WP_124786503.1				
N2.HOG0000268	OG0000159	n0	WP_124786525.1	WP_152063575.1	WP_102337968.1		
N2.HOG0000269	OG0000160	n1	WP_124786533.1, WP_124786539.1	WP_152063598.1	WP_102338003.1		
N2.HOG0000270	OG0000160	n4	WP_197032104.1		WP_102338389.1		
N2.HOG0000271	OG0000161	n0	WP_124786598.1	WP_152062733.1	WP_102338266.1, WP_102338468.1		
N2.HOG0000272	OG0000162	n0	WP_124786604.1	WP_152062777.1	WP_102338079.1, WP_102338245.1		
N2.HOG0000273	OG0000163	n0	WP_124786623.1	WP_152062698.1	WP_102338065.1, WP_199824825.1		
N2.HOG0000274	OG0000164	n0	WP_124786631.1	WP_152063494.1	WP_102337877.1, WP_102338067.1		
N2.HOG0000275	OG0000165	n0	WP_124786687.1	WP_152063206.1, WP_152062856.1	WP_102338379.1		
N2.HOG0000276	OG0000166	n0	WP_124786700.1	WP_152063216.1, WP_152063018.1			
N2.HOG0000277	OG0000167	n0	WP_164473273.1	WP_152063806.1	WP_234346318.1		
N2.HOG0000278	OG0000168	n0	WP_164473275.1	WP_226803310.1			
N2.HOG0000279	OG0000169	n0	WP_164473320.1	WP_152063327.1, WP_152062896.1	WP_102338295.1		
N2.HOG0000280	OG0000170	n0	WP_164473324.1	WP_152063317.1	WP_234346218.1, WP_102338467.1, WP_234346348.1		
N2.HOG0000281	OG0000171	n0	WP_164473349.1	WP_193221150.1	WP_234346181.1, WP_102338460.1		
N2.HOG0000282	OG0000172	n0	WP_172674638.1	WP_193221177.1	WP_102338052.1, WP_102337635.1		
N2.HOG0000283	OG0000173	n0	WP_199412404.1		WP_102337355.1		
N2.HOG0000284	OG0000174	n0		WP_006722528.1	WP_102337593.1		
N2.HOG0000285	OG0000175	n0		WP_152062970.1, WP_152063311.1	WP_102337322.1, WP_102337639.1		
N2.HOG0000286	OG0000176	n0		WP_152063495.1			
N2.HOG0000287	OG0000177	n0		WP_152063677.1			
N2.HOG0000288	OG0000178	n0			WP_102338176.1, WP_102338177.1		
N2.HOG0000289	OG0000180	n0	WP_006233982.1	WP_118103422.1	WP_102337521.1		
N2.HOG0000290	OG0000181	n0	WP_006233983.1	WP_006722505.1	WP_102337522.1		
N2.HOG0000291	OG0000182	n0	WP_006234038.1	WP_006722460.1	WP_102337564.1		
N2.HOG0000292	OG0000183	n0	WP_006234042.1	WP_152063269.1	WP_102337566.1		
